enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Other,77564,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85378
Work,77563,1fd64653-45e2-45ba-a5a9-4360657e1317,Work,,https://bedes.lbl.gov/node/1fd64653-45e2-45ba-a5a9-4360657e1317,9ae91208-70a6-4fe4-b486-166eadb219f7,1.0,85378
Personal,77562,71758863-7b29-4739-9323-0d53d78d716f,Personal,Email address used for personal communication.,https://bedes.lbl.gov/node/71758863-7b29-4739-9323-0d53d78d716f,a5417185-7c94-4c4a-8bc3-36e84863c764,1.0,85378
Other,77561,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85374
Cell,77560,,,,,,,85374
Evenings,77559,a4ab3eae-0883-4a44-b3d1-c6e41035df9f,Evening,"Phone number where contact can be reached during evening, or after regular work hours.",https://bedes.lbl.gov/node/a4ab3eae-0883-4a44-b3d1-c6e41035df9f,a36b4cb4-6b96-4127-94df-38d007bc2a99,0.975,85374
Days,77558,,,,,,,85374
Other,77557,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85340
Work,77556,1fd64653-45e2-45ba-a5a9-4360657e1317,Work,,https://bedes.lbl.gov/node/1fd64653-45e2-45ba-a5a9-4360657e1317,9ae91208-70a6-4fe4-b486-166eadb219f7,1.0,85340
Personal,77555,71758863-7b29-4739-9323-0d53d78d716f,Personal,Email address used for personal communication.,https://bedes.lbl.gov/node/71758863-7b29-4739-9323-0d53d78d716f,a5417185-7c94-4c4a-8bc3-36e84863c764,1.0,85340
Other,77554,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85336
Cell,77553,,,,,,,85336
Evenings,77552,a4ab3eae-0883-4a44-b3d1-c6e41035df9f,Evening,"Phone number where contact can be reached during evening, or after regular work hours.",https://bedes.lbl.gov/node/a4ab3eae-0883-4a44-b3d1-c6e41035df9f,a36b4cb4-6b96-4127-94df-38d007bc2a99,0.975,85336
Days,77551,,,,,,,85336
Other,77550,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85330
Submitter,77549,3129733e-a01a-4880-8650-f3f68584d6bf,Submitted,Assessment has been submitted for review,https://bedes.lbl.gov/node/3129733e-a01a-4880-8650-f3f68584d6bf,07280759-7791-4d30-bcdb-4ba066222a70,0.9555555555555556,85330
Originator,77548,15f6f937-69ce-4451-b8dc-d2b82b6c0a38,Originator,Institution with primary responsibility for processing a loan application.,https://bedes.lbl.gov/node/15f6f937-69ce-4451-b8dc-d2b82b6c0a38,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Servicer,77547,e457cfd3-4456-4558-be92-31cb9a933a12,Servicer,Institution with primary responsibility for collecting and tracking a loan borrower payments.,https://bedes.lbl.gov/node/e457cfd3-4456-4558-be92-31cb9a933a12,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Lender,77546,2f94a5ff-a488-400f-bc99-639420789f77,Lender,Lending institution or company,https://bedes.lbl.gov/node/2f94a5ff-a488-400f-bc99-639420789f77,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
