enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Controls Engineer,77545,f407cc1f-9253-4a95-8715-27d07670cf77,Controls engineer,The controls engineer of record,https://bedes.lbl.gov/node/f407cc1f-9253-4a95-8715-27d07670cf77,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9514705882352941,85330
Electrical Engineer,77544,8aa09ae4-d894-4f7c-9cda-d3876d91886c,Electrical engineer,The electrical engineer of record,https://bedes.lbl.gov/node/8aa09ae4-d894-4f7c-9cda-d3876d91886c,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9567251461988304,85330
Trainer,77543,835a1b1b-d3a0-43dc-828f-b2b46b3486f3,Trainer,Trainer,https://bedes.lbl.gov/node/835a1b1b-d3a0-43dc-828f-b2b46b3486f3,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Facility Manager,77542,724043e1-cef0-4b93-99de-ee4b81a24b5a,Facility manager,Facility manager,https://bedes.lbl.gov/node/724043e1-cef0-4b93-99de-ee4b81a24b5a,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.975,85330
Facilitator,77541,2b4a6297-f42b-4c49-9ca3-2dd4305b9d11,Facilitator,Project or process facilitator,https://bedes.lbl.gov/node/2b4a6297-f42b-4c49-9ca3-2dd4305b9d11,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
ESCO,77540,b9153527-3fc7-433a-8087-b5512c2ced76,ESCO,Energy savings/service company,https://bedes.lbl.gov/node/b9153527-3fc7-433a-8087-b5512c2ced76,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Electric Distribution Utility (EDU),77539,,,,,,,85330
Power plant,77538,1054ae75-7237-4776-850d-04c566f7be39,Power plant,Individual power plant,https://bedes.lbl.gov/node/1054ae75-7237-4776-850d-04c566f7be39,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Utility,77537,fb748dd3-6611-4a63-afdb-eebf3a78dae7,Utility,"A premises providing services for the public such as electricity, natural gas, water, sewage, and telecommunications.",https://bedes.lbl.gov/node/fb748dd3-6611-4a63-afdb-eebf3a78dae7,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0,85330
Authority Having Jurisdiction,77536,7ea2f583-2a9e-40da-a41d-7460d01ed0bb,Authority having jurisdiction,"Also known as the ""AHJ"". The city, county or other authority with jurisdiction over building permits and inspections.",https://bedes.lbl.gov/node/7ea2f583-2a9e-40da-a41d-7460d01ed0bb,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9724137931034482,85330
Service and Product Provider,77535,7c96f4c3-363d-4fb1-b3fc-a6e17872b7cc,Service and product provider,The ABS Service and Product Provider associated with a Portfolio Manager Facility.,https://bedes.lbl.gov/node/7c96f4c3-363d-4fb1-b3fc-a6e17872b7cc,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9714285714285714,85330
Energy Consultant,77534,4a50de4a-8222-4f9c-bfdb-ebb0802db4ba,Energy consultant,The energy consultant of record,https://bedes.lbl.gov/node/4a50de4a-8222-4f9c-bfdb-ebb0802db4ba,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9764705882352941,85330
Mechanical Engineer,77533,8ca644b3-75a6-4303-9207-2c269452baf2,Mechanical engineer,The mechanical engineer of record,https://bedes.lbl.gov/node/8ca644b3-75a6-4303-9207-2c269452baf2,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9567251461988304,85330
Architect,77532,2e5e9f78-4429-448e-8b23-91371b8aa360,Architect,The architect of record,https://bedes.lbl.gov/node/2e5e9f78-4429-448e-8b23-91371b8aa360,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Billing,77531,ef68ebd7-a2c7-489c-a19f-9f02bd043539,Billing,The address where the utility bills are sent.,https://bedes.lbl.gov/node/ef68ebd7-a2c7-489c-a19f-9f02bd043539,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Service,77530,f6d23dca-b8af-4cf2-b5b8-4ee50700be38,Service,These establishments may provide general services on the premises.,https://bedes.lbl.gov/node/f6d23dca-b8af-4cf2-b5b8-4ee50700be38,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0,85330
Builder,77529,8656f8dc-105c-479d-8d82-8571f40f501a,Builder,Contact information for the builder.,https://bedes.lbl.gov/node/8656f8dc-105c-479d-8d82-8571f40f501a,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Evaluator,77528,3366c1eb-43d1-4400-85bd-b28d78c77a2b,Evaluator,Contact Information for the evaluator,https://bedes.lbl.gov/node/3366c1eb-43d1-4400-85bd-b28d78c77a2b,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
MV Agent,77527,,,,,,,85330
Commissioning Agent,77526,07f2aa09-8929-442f-802b-3fbaca477c71,Commissioning agent,Contact Information for the commissioning agent.,https://bedes.lbl.gov/node/07f2aa09-8929-442f-802b-3fbaca477c71,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9789473684210526,85330
Financier,77525,ae6dd3e2-3e3b-495f-819a-3a85f2157c6d,Financier,Contact information for the financier,https://bedes.lbl.gov/node/ae6dd3e2-3e3b-495f-819a-3a85f2157c6d,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Implementer,77524,2780cc15-0080-4fcb-b27d-e8c2ba8a05a6,Implementer,Contact information for the project or measure implementer.,https://bedes.lbl.gov/node/2780cc15-0080-4fcb-b27d-e8c2ba8a05a6,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Contractor,77523,ea7184b7-848a-4d34-a798-bd847c78add2,Contractor,Contact information for the contractor.,https://bedes.lbl.gov/node/ea7184b7-848a-4d34-a798-bd847c78add2,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Energy Modeler,77522,2cb4aa70-21e3-42f3-b71d-65afa5729b6a,Energy modeler,Contact information for the energy modeler.,https://bedes.lbl.gov/node/2cb4aa70-21e3-42f3-b71d-65afa5729b6a,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9714285714285714,85330
Energy Auditor,77521,70453ad6-b14d-4f7a-bfbb-6bb86274ec16,Energy Auditor,Contact information for the energy auditor.,https://bedes.lbl.gov/node/70453ad6-b14d-4f7a-bfbb-6bb86274ec16,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Operator,77520,e8441dff-490b-4da1-996b-36ef6eba93f7,Operator,"Contact information for the operator of the premises. The operator is in charge of managing the energy use of the building, such as operating schedules, thermostat setpoints, etc.",https://bedes.lbl.gov/node/e8441dff-490b-4da1-996b-36ef6eba93f7,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Property Management Company,77519,,,,,,,85330
Contributor,77518,3207006c-0368-4bc5-a6e5-8aa031608b40,Contributor,Contributor of original information. Example: the original Portfolio Manager account who shared this premises data.,https://bedes.lbl.gov/node/3207006c-0368-4bc5-a6e5-8aa031608b40,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Qualified Assessor,77517,0b705326-095d-401d-b6b2-68b69c96f4e2,Qualified assessor,An individual qualified to perform an assessment of a premises.,https://bedes.lbl.gov/node/0b705326-095d-401d-b6b2-68b69c96f4e2,7d3e348a-253b-44aa-8b01-2967133a0c0c,0.9777777777777777,85330
Administrator,77516,5eba4ac1-d47d-40e1-a684-b312e2ea5648,Administrator,Administrator of customer accounts.,https://bedes.lbl.gov/node/5eba4ac1-d47d-40e1-a684-b312e2ea5648,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Customer agreement,77515,8b5047bb-090b-46b2-a205-6024888bf22e,Customer agreement,California Proposition 39 customer agreement,https://bedes.lbl.gov/node/8b5047bb-090b-46b2-a205-6024888bf22e,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Customer,77514,47152f84-b2f4-4a1b-aac4-2224cab919d2,Customer,Customer,https://bedes.lbl.gov/node/47152f84-b2f4-4a1b-aac4-2224cab919d2,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Owner,77513,8c0d705e-7e6d-403b-bccd-c58247c50856,Owner,Legal owner of a premises,https://bedes.lbl.gov/node/8c0d705e-7e6d-403b-bccd-c58247c50856,9990e638-f884-446b-9218-c5855a7e7955,1.0,85330
Agency,77512,28d8d9dd-4448-4493-902f-9cf1d191428d,Agency,"Agency such as the Federal agency, required to designate a facility as a federal property in Portfolio Manager.",https://bedes.lbl.gov/node/28d8d9dd-4448-4493-902f-9cf1d191428d,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Occupant,77511,14336def-9751-431f-b713-ba0ec63883a2,Occupant,Occupant,https://bedes.lbl.gov/node/14336def-9751-431f-b713-ba0ec63883a2,7d3e348a-253b-44aa-8b01-2967133a0c0c,1.0,85330
Premises,77510,2bd3d6b2-4dd3-4e8a-9a1d-4177487d7059,Premises,"Identifier for a given premises. A premises can be any part of a building or land, such as a store in a mall, or a whole campus.",https://bedes.lbl.gov/node/2bd3d6b2-4dd3-4e8a-9a1d-4177487d7059,224f52fa-2b57-4a3e-8956-2c94bd1996be,1.0,85330
Unknown,77509,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85226
Other,77508,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85226
Firm,77507,,,,,,,85226
Interruptible,77506,,,,,,,85226
Unknown,77505,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85225
Other,77504,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85225
PDU output meter,77503,687e272b-6de6-4059-b468-453d9cefe5da,PDU output meter,,https://bedes.lbl.gov/node/687e272b-6de6-4059-b468-453d9cefe5da,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Supply UPS output meter,77502,97525e67-772a-4778-86ba-ce480f9cae37,Supply UPS output meter,,https://bedes.lbl.gov/node/97525e67-772a-4778-86ba-ce480f9cae37,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
IT equipment input meter,77501,b2c0c5b8-f53d-4787-8bfd-8207df5c7ceb,IT equipment input meter,,https://bedes.lbl.gov/node/b2c0c5b8-f53d-4787-8bfd-8207df5c7ceb,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
PDU input meter,77500,0f85c9c6-bf5d-4185-803e-7631538d97cf,PDU input meter,,https://bedes.lbl.gov/node/0f85c9c6-bf5d-4185-803e-7631538d97cf,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Smart meter,77499,b0b21612-2708-4496-af9a-4571a3c9b4ee,Smart meter,A smart meter is usually an electronic device that records consumption of electric energy in intervals of an hour or less and communicates that information at least daily back to the utility for monitoring and billing.,https://bedes.lbl.gov/node/b0b21612-2708-4496-af9a-4571a3c9b4ee,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Net,77498,2d6b707a-abd6-406a-973f-b3809d3ebbe1,Net,"Gross floor area, excluding the area occupied by walls and partitions, the circulation area (where people walk), and the mechanical area (where there is mechanical equipment), i.e., gross floor area reduced by the area for structural components",https://bedes.lbl.gov/node/2d6b707a-abd6-406a-973f-b3809d3ebbe1,468fbd28-7043-45fb-8287-9e4ee2efbe6d,1.0,85225
Interval,77497,3caac042-08c1-4fb7-bacd-9c37a2dcbfbc,Interval,,https://bedes.lbl.gov/node/3caac042-08c1-4fb7-bacd-9c37a2dcbfbc,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Analog,77496,0d90d2be-5b21-4e9f-9e40-b5aa0909d8e2,Analog,"A television product which has an NTSC, PAL, or SECAM tuner, and may have analog video inputs (e.g., composite video, component video, S-video, RGB).",https://bedes.lbl.gov/node/0d90d2be-5b21-4e9f-9e40-b5aa0909d8e2,67f4557e-70c7-425e-8b47-1b350095f534,1.0,85225
Advanced resource meter,77495,91374b0e-0bdf-4118-b19b-c56ffc6ed6da,Advanced resource meter,,https://bedes.lbl.gov/node/91374b0e-0bdf-4118-b19b-c56ffc6ed6da,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Revenue grade meter,77494,1b46a9b7-60d3-4f5c-a509-db4e776f6824,Revenue grade meter,,https://bedes.lbl.gov/node/1b46a9b7-60d3-4f5c-a509-db4e776f6824,b57658e2-43b2-4347-b1de-1883089d15bd,1.0,85225
Unknown,77493,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85224
Other,77492,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85224
Master meter with sub metering,77491,ed3f9be0-c976-4a4b-9e02-e504b263c5da,Master meter with sub metering,Tenants sub-metered by building owner,https://bedes.lbl.gov/node/ed3f9be0-c976-4a4b-9e02-e504b263c5da,6f67f127-8ef8-4dcc-a099-13412255527d,1.0,85224
Master meter without sub metering,77490,e9c03553-5044-41cc-8c44-be36da45e884,Master meter without sub metering,Tenants not directly metered or sub-metered,https://bedes.lbl.gov/node/e9c03553-5044-41cc-8c44-be36da45e884,6f67f127-8ef8-4dcc-a099-13412255527d,1.0,85224
Direct metering,77489,4e39af68-6353-45ef-be33-4f0aa00036bc,Direct metering,Tenants are directly metered individually,https://bedes.lbl.gov/node/4e39af68-6353-45ef-be33-4f0aa00036bc,6f67f127-8ef8-4dcc-a099-13412255527d,1.0,85224
Other,77488,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85214
Industrial,77487,81950e3d-3bbe-495d-9586-08eafad5c029,Industrial,"Industrial premises including food processing, manufacturing, high tech, metal processing, and pulp and paper firms. Premises may have fixed pieces of equipment, buildings or complexes used to produce goods as part of any process or system such as voltage optimization, water and wastewater systems, transport processing or other activity involving farm products off-farm.",https://bedes.lbl.gov/node/81950e3d-3bbe-495d-9586-08eafad5c029,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0,85214
Commercial,77486,6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,Commercial,"Commercial designs are meant to accommodate the making of a profit, either directly or indirectly, by the premises.",https://bedes.lbl.gov/node/6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,86208e3e-352a-451d-b2c5-da725ca87693,1.0,85214
Residential,77485,e689eee2-3fbf-4c85-9082-54b8f1575c68,Residential,Residential designs are meant to accommodate the needs of people residing on the premises.,https://bedes.lbl.gov/node/e689eee2-3fbf-4c85-9082-54b8f1575c68,86208e3e-352a-451d-b2c5-da725ca87693,1.0,85214
Other,77484,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85207
Decreasing,77483,,,,,,,85207
Increasing,77482,,,,,,,85207
None,77481,f8e5afa0-c753-4b21-959d-9c3842cae357,None,None,https://bedes.lbl.gov/node/f8e5afa0-c753-4b21-959d-9c3842cae357,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85142
Other,77480,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85142
Class 1 building,77479,,,,,,,85142
Simple building,77478,,,,,,,85142
LEED certified,77477,,,,,,,85142
EPA ENERGY STAR certified,77476,,,,,,,85142
None,77475,f8e5afa0-c753-4b21-959d-9c3842cae357,None,None,https://bedes.lbl.gov/node/f8e5afa0-c753-4b21-959d-9c3842cae357,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85140
Other,77474,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,85140
University of Wisconsin Accredited Green Commissioning Process Provider (GCxP or GCP),77473,,,,,,,85140
University of Wisconsin Accredited Commissioning Process Manager (CxM),77472,,,,,,,85140
University of Wisconsin Accredited Commissioning Process Authority Professional (CxAP or CAP),77471,,,,,,,85140
Residential Energy Services Network (RESNET) Certification,77470,966e2342-49c0-40ab-8965-0c056180cfb6,Residential Energy Services Network (RESNET) Certification,,https://bedes.lbl.gov/node/966e2342-49c0-40ab-8965-0c056180cfb6,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Residential Energy Services Network (RESNET) - Home Partner,77469,c26e47b3-3fa1-4da0-9852-f76e32e45368,Residential Energy Services Network (RESNET) - Home Partner,,https://bedes.lbl.gov/node/c26e47b3-3fa1-4da0-9852-f76e32e45368,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Registered Architect (RA),77468,9b1fb3a0-fe76-42c6-9de4-e45dd7b75748,Registered Architect (RA),,https://bedes.lbl.gov/node/9b1fb3a0-fe76-42c6-9de4-e45dd7b75748,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Refrigerating System Operating Engineer,77467,6a2f50b3-9ee8-437e-a368-8211a533e5da,Refrigerating System Operating Engineer,,https://bedes.lbl.gov/node/6a2f50b3-9ee8-437e-a368-8211a533e5da,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Professional Engineer (PE),77466,2b26027a-da89-41d7-b460-40ee12c62e86,Professional Engineer (PE),,https://bedes.lbl.gov/node/2b26027a-da89-41d7-b460-40ee12c62e86,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
PhD in Mechanical Engineering,77465,578c0b8b-1bbc-41b6-a225-b44eb449e0c5,PhD in Mechanical Engineering,,https://bedes.lbl.gov/node/578c0b8b-1bbc-41b6-a225-b44eb449e0c5,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Northwest Energy Education Institute Energy Management Certification,77464,8cd2fba3-9137-4842-b6db-7568d8b1fb3e,Northwest Energy Education Institute Energy Management Certification,,https://bedes.lbl.gov/node/8cd2fba3-9137-4842-b6db-7568d8b1fb3e,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
National Environmental Balancing Bureau (NEBB) Commissioning Process Professional (CxPP),77463,,,,,,,85140
National Environmental Balancing Bureau (NEBB) Building Systems Commissioning (BSC),77462,,,,,,,85140
New York State Energy Research and Development Authority (NYSERDA) FlexTech Consultant,77461,,,,,,,85140
"Mechanical, Electrical and Plumbing (MEP) Professional Engineer (PE)",77460,,,,,,,85140
International Union of Operating Engineers Certified Energy Specialist,77459,16958efe-332e-4858-9a51-e44ab2bc9cfd,International Union of Operating Engineers Certified Energy Specialist,,https://bedes.lbl.gov/node/16958efe-332e-4858-9a51-e44ab2bc9cfd,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
International Facility Management Association (IFMA) Sustainability Facility Professional (SFP),77458,,,,,,,85140
International Facility Management Association (IFMA) Facility Management Professional (FMP),77457,,,,,,,85140
International Facility Management Association (IFMA) Certified Facilities Manager (CFM),77456,,,,,,,85140
High-Performance Building Design Professional (HBDP),77455,2eec9ffe-72bd-44c7-b62e-e08346f75633,High-Performance Building Design Professional (HBDP),,https://bedes.lbl.gov/node/2eec9ffe-72bd-44c7-b62e-e08346f75633,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
High Pressure Boiler Operating Engineer,77454,3e3fe44b-f962-4614-bddf-d433a0540b65,High Pressure Boiler Operating Engineer,,https://bedes.lbl.gov/node/3e3fe44b-f962-4614-bddf-d433a0540b65,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
HERS Whole House (HERS II) Rater,77453,05948325-63d0-4068-b0fb-1b09d0564db1,HERS Whole House (HERS II) Rater,,https://bedes.lbl.gov/node/05948325-63d0-4068-b0fb-1b09d0564db1,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
GreenPoint Rater Existing Home Multifamily Rater,77452,b2f332ce-11e4-4cd2-b380-27c1067ffe34,GreenPoint Rater Existing Home Multifamily Rater,,https://bedes.lbl.gov/node/b2f332ce-11e4-4cd2-b380-27c1067ffe34,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Existing Building Commissioning Professional (EBCP),77451,50f57826-bc56-4d91-a5c9-f3d4534bbe61,Existing Building Commissioning Professional (EBCP),,https://bedes.lbl.gov/node/50f57826-bc56-4d91-a5c9-f3d4534bbe61,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Energy Management Association (EMA): Energy Management Professional (EMP),77450,,,,,,,85140
Department of Buildings (DOB) Approved Agent,77449,529af453-0856-4fdd-a3c7-0afdbeb076cc,Department of Buildings (DOB) Approved Agent,,https://bedes.lbl.gov/node/529af453-0856-4fdd-a3c7-0afdbeb076cc,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Commissioning Process Management Professional (CPMP),77448,97eba195-57c4-4754-88b9-76fddef36e65,Commissioning Process Management Professional (CPMP),,https://bedes.lbl.gov/node/97eba195-57c4-4754-88b9-76fddef36e65,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Certified Commissioning Professional (CCP),77447,6e865baa-695e-4d3c-bbee-97204cb931d4,Certified Commissioning Professional (CCP),,https://bedes.lbl.gov/node/6e865baa-695e-4d3c-bbee-97204cb931d4,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Building Performance Institute (BPI): Multifamily Building Analyst,77446,,,,,,,85140
Building Performance Institute (BPI): Building Analyst (BA),77445,,,,,,,85140
Building Performance Institute (BPI): Advanced Home Energy Professional - Retrofit Installer (HEP-RI),77444,,,,,,,85140
Building Performance Institute (BPI): Advanced Home Energy Professional - Quality Control Inspector (HEP-QCI),77443,,,,,,,85140
Building Performance Institute (BPI): Advanced Home Energy Professional - Energy Auditor (HEP-EA),77442,,,,,,,85140
Building Performance Institute (BPI): Advanced Home Energy Professional - Crew Leader (HEP-CL),77441,,,,,,,85140
Building Performance Institute (BPI): Advanced Home Energy Professional (HEP),77440,,,,,,,85140
Building Performance Institute (BPI) Certification,77439,4dbec78e-55a8-41cf-977d-cb3240f64f6b,Building Performance Institute (BPI) Certification,,https://bedes.lbl.gov/node/4dbec78e-55a8-41cf-977d-cb3240f64f6b,6e37f128-742a-41e1-94d5-cb490a5071d3,1.0,85140
Building Owners and Managers Institute (BOMI) International - System Maintenance Technician (SMT),77438,,,,,,,85140
Building Owners and Managers Institute (BOMI) International - System Maintenance Administrator (SMA),77437,,,,,,,85140
Building Owners and Managers Institute (BOMI) International - Real Property Administrator (RPA),77436,,,,,,,85140
Building Owners and Managers Institute (BOMI) International - High-Performance Sustainable Building Management (BOMI-HP),77435,,,,,,,85140
Building Owners and Managers Institute (BOMI) International - Facilities Management Administrator (FMA),77434,,,,,,,85140
