enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Audit,55887,4a211e82-1d09-4bfe-9673-17daa35e7a0e,Audit,,https://bedes.lbl.gov/node/4a211e82-1d09-4bfe-9673-17daa35e7a0e,34eba948-b418-4f29-85b0-8f73380c7994,1.0,66249
Performance,55888,932eed34-90aa-4cda-8b7e-994e9aa2a56e,Performance,,https://bedes.lbl.gov/node/932eed34-90aa-4cda-8b7e-994e9aa2a56e,34eba948-b418-4f29-85b0-8f73380c7994,1.0,66249
Deemed,55889,f4df0f78-d72b-403f-8ff4-1edd6c0be678,Deemed,,https://bedes.lbl.gov/node/f4df0f78-d72b-403f-8ff4-1edd6c0be678,34eba948-b418-4f29-85b0-8f73380c7994,1.0,66249
Retrofit,55890,73160bb3-6426-4ca5-8de3-8044fd18d415,Retrofit,,https://bedes.lbl.gov/node/73160bb3-6426-4ca5-8de3-8044fd18d415,34eba948-b418-4f29-85b0-8f73380c7994,1.0,66249
Rebate,55891,599cf5b4-c019-4bae-8300-47f951bfb748,Rebate,,https://bedes.lbl.gov/node/599cf5b4-c019-4bae-8300-47f951bfb748,34eba948-b418-4f29-85b0-8f73380c7994,1.0,66249
Other,55892,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,66249
Not Applicable,55893,,,,,,,66249
Commercial,55894,6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,Commercial,"Commercial designs are meant to accommodate the making of a profit, either directly or indirectly, by the premises.",https://bedes.lbl.gov/node/6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,86208e3e-352a-451d-b2c5-da725ca87693,1.0,66256
Residential,55895,e689eee2-3fbf-4c85-9082-54b8f1575c68,Residential,Residential designs are meant to accommodate the needs of people residing on the premises.,https://bedes.lbl.gov/node/e689eee2-3fbf-4c85-9082-54b8f1575c68,86208e3e-352a-451d-b2c5-da725ca87693,1.0,66256
Mixed use commercial,55896,622b9f3b-1315-4700-9c04-8d89e71b6f8a,Mixed use commercial,"A commercial premises includes non-manufacturing business establishments including hotels, restaurants, wholesale businesses, retail stores, warehouses, storage facilities, and health, social and educational institutions.",https://bedes.lbl.gov/node/622b9f3b-1315-4700-9c04-8d89e71b6f8a,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0,66256
Other,55897,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,66256
Multiple Heights,55898,,,,,,,66276
Uniform Height,55899,,,,,,,66276
No abutments,55900,,,,,,,66277
Attached from Above,55901,fd1c940d-ac1f-4000-baa3-a47f59a19ae0,Attached from above,,https://bedes.lbl.gov/node/fd1c940d-ac1f-4000-baa3-a47f59a19ae0,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9789473684210526,66277
Attached from Below,55902,63a603db-daac-42a4-a1a8-d13272a2bf21,Attached from below,,https://bedes.lbl.gov/node/63a603db-daac-42a4-a1a8-d13272a2bf21,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9789473684210526,66277
Attached from Above and Below,55903,e33b78de-0d44-4578-8248-c536a2c68ab4,Attached from above and below,,https://bedes.lbl.gov/node/e33b78de-0d44-4578-8248-c536a2c68ab4,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9501915708812261,66277
Unknown,55904,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,66277
Stand-alone,55905,9bf68c2e-8ae7-4d68-9788-956562058547,Stand alone,,https://bedes.lbl.gov/node/9bf68c2e-8ae7-4d68-9788-956562058547,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9636363636363636,66278
Attached on one side,55906,d69ce0c6-1227-4140-8f40-2c67aca2575e,Attached on one side,,https://bedes.lbl.gov/node/d69ce0c6-1227-4140-8f40-2c67aca2575e,160cf3e7-6cd4-42a2-86c2-b239564304f9,1.0,66278
