BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.HeatingSourceID,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.CoolingSourceID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.PrimaryFuel,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.ControlTechnology,Required,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.YearInstalled,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.YearofManufacture,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.Manufacturer,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.ModelNumber,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.ThirdPartyCertification,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.HeatingAndCoolingSystems.Delivery.Quantity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctConfiguration,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.MinimumOutsideAirPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.MaximumOAFlowRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctInsulationCondition,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctSealing,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctInsulationRValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctSurfaceArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.SupplyDuctPercentConditionedSpace,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.ReturnDuctPercentConditionedSpace,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.StaticPressureInstalled,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctLeakageTestMethod,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctPressureTestLeakageRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.SupplyFractionOfDuctLeakage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.DuctPressureTestLeakagePercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.HeatingDeliveryID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.CoolingDeliveryID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.Quantity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.Location,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.YearInstalled,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.YearofManufacture,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.Manufacturer,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.ModelNumber,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.LinkedPremises.Space.LinkedSpaceID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.UserDefinedFields,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.UserDefinedFields.UserDefinedField,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.UserDefinedFields.UserDefinedField.FieldName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.DuctSystems.DuctSystems.UserDefinedFields.UserDefinedField.FieldValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.HumidificationType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.HumidityControlMinimum,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Humidifier.SystemPerformanceRatio,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.DehumidificationType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.HumidityControlMaximum,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.SystemPerformanceRatio,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Dehumidifier.ThirdPartyCertification,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.AirCleaner,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.AirCleaner.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.AirCleaner.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.AirCleaner.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.AirCleaner.SystemPerformanceRatio,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.VentilationRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.RequiredVentilationRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.VentilationType,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.DemandControlVentilation,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.VentilationZoneControl,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.MakeupAirSourceID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.VentilationControlMethod,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.SystemPerformanceRatio,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.MechanicalVentilation.ThirdPartyCertification,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.ExhaustLocation,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.VentilationRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.RequiredVentilationRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.MakeupAirSourceID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.VentilationControlMethod,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.SystemPerformanceRatio,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.SpotExhaust.ThirdPartyCertification,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.NaturalVentilationRate,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.NaturalVentilationMethod,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.VentilationControlMethod,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.Capacity,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.CapacityUnits,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.NaturalVentilation.DutyCycle,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.OtherCombination,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACType.Unknown,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.OtherHVACSystemCondition,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.Integration,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedDeliveryID,Optional,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.Location,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.PrimaryFuel,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.ControlTechnology,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.Manufacturer,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.ModelNumber,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.YearofManufacture,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.YearInstalled,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaValue,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.Subsection.LinkedSubsectionID.FloorAreas.FloorArea.Story,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID.LinkedScheduleID,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Systems.HVACSystems.HVACSystem.OtherHVACSystems.OtherHVACSystem.LinkedPremises.ThermalZone.LinkedThermalZoneID.FloorAreas.FloorArea.FloorAreaCustomName,,,
