BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.SideNumber,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.SideLength,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WallID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WallID.WallArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WindowID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WindowID.FenestrationArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WindowID.WindowToWallRatio,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.WindowID.PercentOfWindowAreaShaded,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.DoorID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.DoorID.FenestrationArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.Sides.Side.ThermalZoneID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.RoofID,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.RoofID.RoofArea,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.RoofID.RoofInsulatedArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.RoofID.SkylightID,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.RoofID.SkylightID.PercentSkylightArea,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.CeilingID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.CeilingID.CeilingArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.CeilingID.CeilingInsulatedArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.CeilingID.ThermalZoneID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.CeilingID.SpaceID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FoundationID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FoundationID.FoundationArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FoundationID.ThermalZoneID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FoundationID.SpaceID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.XOffset,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.YOffset,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ZOffset,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorsAboveGrade,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorsBelowGrade,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorsPartiallyBelowGrade,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorToFloorHeight,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.FloorToCeilingHeight,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.DeliveryID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.HVACScheduleID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.SetpointTemperatureHeating,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.SetbackTemperatureHeating,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.HeatLowered,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.SetpointTemperatureCooling,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.SetupTemperatureCooling,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.ACAdjusted,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyScheduleID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupantsActivityLevel,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.DaylitFloorArea,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.DaylightingIlluminanceSetpoint,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PercentageOfCommonSpace,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.ConditionedVolume,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesNotes,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyClassification,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantType,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantQuantityType,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.OccupancyLevels.OccupancyLevel.OccupantQuantity,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageUnits,Required,"Hours per week,Weeks per Year",Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.PrimaryContactID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.TenantID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaType,Required,"Gross,Conditioned",Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaValue
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaValue,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.FloorAreaPercentage,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.FloorAreas.FloorArea.Story,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField.FieldName,Required,"Principle Lighting Type,Principle HVAC System,Original Intended Use",Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField.FieldValue
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.Spaces.Space.UserDefinedFields.UserDefinedField.FieldValue,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.PremisesName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField.FieldName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.ThermalZones.ThermalZone.UserDefinedFields.UserDefinedField.FieldValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesNotes,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesIdentifiers,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyClassification,Optional,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels.OccupancyLevel,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantType,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantQuantityType,,Total Peak Occupants,Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantQuantity
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.OccupancyLevels.OccupancyLevel.OccupantQuantity,Required,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.TypicalOccupantUsages,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageValue,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.TypicalOccupantUsages.TypicalOccupantUsage.TypicalOccupantUsageUnits,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.PrimaryContactID,,,
Audits.Audit.Sites.Site.Facilities.Facility.Subsections.Subsection.TenantID,,,
