Unnamed: 0,attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words,bedes_term_update,bedes_content_uuid_update
420,Digital,Digital,54899,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.ControlSystemTypes.ControlSystemType.Digital,0e420d91-142d-4794-89df-dadee4178a88,Digital,,"A television product which has at least one digital tuner or at least one digital video input (e.g., HDMI). Products with an analog tuner and both analog and digital inputs are considered digital products under this specification.",https://bedes.lbl.gov/node/0e420d91-142d-4794-89df-dadee4178a88,1.0,Term-to-List-Option Match,,,,,,,,
421,CommunicationProtocol,Communication Protocol,54900,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.ControlSystemTypes.ControlSystemType.Digital.CommunicationProtocol,,,,,,,Words: all Word,,,,"Communication,  Protocol","https://bedes.lbl.gov/node/73ab9964-1cf9-46eb-a102-4e7131e52acc, https://bedes.lbl.gov/node/73ab9964-1cf9-46eb-a102-4e7131e52acc",,,
422,Pneumatic,Pneumatic,54901,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.ControlSystemTypes.ControlSystemType.Pneumatic,55ffb6cf-74d4-4abe-b8ce-f9a9d82e097f,Pneumatic,,,https://bedes.lbl.gov/node/55ffb6cf-74d4-4abe-b8ce-f9a9d82e097f,1.0,Term-to-List-Option Match,,,,,,,,
423,Other,Other,54902,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.ControlSystemTypes.ControlSystemType.Other,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1.0,Term-to-List-Option Match,,,,,,,,
424,OtherCommunicationProtocolName,Other Communication Protocol Name,54903,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.ControlSystemTypes.ControlSystemType.Other.OtherCommunicationProtocolName,,,,,,,"Words: Term, Word","Other,  Name","List-Option,  List-Option","https://bedes.lbl.gov/node/c74c8cd6-1e51-4fe0-acfb-74edd82e5455, https://bedes.lbl.gov/node/7f7a2ada-00a2-4354-9c71-18c024765239","Communication,  Protocol","https://bedes.lbl.gov/node/73ab9964-1cf9-46eb-a102-4e7131e52acc, https://bedes.lbl.gov/node/73ab9964-1cf9-46eb-a102-4e7131e52acc",,,
425,Boiler,Boiler,54904,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler,b54cba08-c530-4462-a4b9-e210604226f2,Boiler,,Efficiency of boiler equipment,https://bedes.lbl.gov/node/b54cba08-c530-4462-a4b9-e210604226f2,1.0,Term-to-List-Option Match,,,,,,,,
426,BoilerType,Boiler Type,54905,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BoilerType,9395614e-5864-4c61-8d79-eeb94a53e2c6,Boiler Heating Medium,,,https://bedes.lbl.gov/node/9395614e-5864-4c61-8d79-eeb94a53e2c6,1,Term-to-Term Match,,,,,,,Boiler Heating Medium,9395614e-5864-4c61-8d79-eeb94a53e2c6
427,BoilerInsulationRValue,Boiler Insulation R Value,54906,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BoilerInsulationRValue,1cabe46e-f19b-427a-b03d-7400adac1b99,Boiler Insulation R Value,HVAC,Insulation R-Value of hot water storage tank.,https://bedes.lbl.gov/node/1cabe46e-f19b-427a-b03d-7400adac1b99,1,Term-to-Term Match,,,,,,,Boiler Insulation R Value,1cabe46e-f19b-427a-b03d-7400adac1b99
428,BoilerInsulationThickness,Boiler Insulation Thickness,54907,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.BoilerInsulationThickness,46fa6568-6689-4d71-adc0-99280c1d00f5,Boiler Insulation Thickness,HVAC,Insulation thickness of hot water storage tank. [inches],https://bedes.lbl.gov/node/46fa6568-6689-4d71-adc0-99280c1d00f5,1,Term-to-Term Match,,,,,,,Boiler Insulation Thickness,46fa6568-6689-4d71-adc0-99280c1d00f5
429,HotWaterBoilerMinimumFlowRate,Hot Water Boiler Minimum Flow Rate,54908,BuildingSync.Facilities.Facility.Systems.HVACSystems.HVACSystem.Plants.HeatingPlants.HeatingPlant.Boiler.HotWaterBoilerMinimumFlowRate,ae96a13b-7f7a-4635-a54b-6b8fa3f3f839,Hot Water Boiler Minimum Flow Rate,,,https://bedes.lbl.gov/node/ae96a13b-7f7a-4635-a54b-6b8fa3f3f839,1,Term-to-Term Match,,,,,,,Hot Water Boiler Minimum Flow Rate,ae96a13b-7f7a-4635-a54b-6b8fa3f3f839
