Unnamed: 0,attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words,bedes_term_update,bedes_content_uuid_update
0,BuildingSync,Building Sync,54479,BuildingSync,,,,,,,"Words: Term, Unmatched",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,Sync,,
1,Programs,Assessment Program,54480,BuildingSync.Programs,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,,,
2,Program,Assessment Program,54481,BuildingSync.Programs.Program,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,Premises,"Program which issues energy labels, ratings, or sustainability certifications.",https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1.0,Term-to-Term Match,,,,,,,,
3,ProgramDate,Assessment Program Date,54482,BuildingSync.Programs.Program.ProgramDate,40f5cc17-9f58-445b-a715-12a5effa0bb7,Program Date,,,https://bedes.lbl.gov/node/40f5cc17-9f58-445b-a715-12a5effa0bb7,1,Term-to-Term Match,,,,,,,Program Date,40f5cc17-9f58-445b-a715-12a5effa0bb7
4,ProgramFundingSource,Assessment Program Funding Source,54483,BuildingSync.Programs.Program.ProgramFundingSource,,,,,,,Words: all Term,"Assessment Program,  Funding Source","Term,  Term","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d, https://bedes.lbl.gov/node/df6b02d4-7642-4209-a9cd-680756a05d60",,,,,
5,ProgramClassification,Assessment Program Classification,54484,BuildingSync.Programs.Program.ProgramClassification,,,,,,,"Words: Term, Word",Assessment Program,Term,https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,Classification,https://bedes.lbl.gov/node/0698bc5a-c677-4937-a364-0c7f2047631f,,,
6,Facilities,Facilities,54485,BuildingSync.Facilities,,,,,,,Words: all Word,,,,Facilities,https://bedes.lbl.gov/node/b6fca2b4-5856-452a-9198-1a0455dd73f0,,,
7,Facility,Facility,54486,BuildingSync.Facilities.Facility,,,,,,,Words: all Word,,,,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,,,
8,Sites,Sites,54487,BuildingSync.Facilities.Facility.Sites,,,,,,,Words: all Term,Sites,List-Option,https://bedes.lbl.gov/node/14a1960d-aa62-412e-ab5e-4431a319d1be,,,,,
9,Site,Site,54488,BuildingSync.Facilities.Facility.Sites.Site,9903ed36-9213-4446-b9af-3f165cfed87c,Site,,Site refers to the land on which the premises is built on.,https://bedes.lbl.gov/node/9903ed36-9213-4446-b9af-3f165cfed87c,1.0,Term-to-List-Option Match,,,,,,,,
10,Buildings,Buildings,54489,BuildingSync.Facilities.Facility.Sites.Site.Buildings,,,,,,,Words: all Term,Buildings,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,,,,,
11,Building,Building,54490,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building,ee24930d-e880-4212-b3f7-ac8f511111d4,Building,,"A building is a single structure wholly or partially enclosed within exterior walls, or within exterior and abutment walls (party walls), and a roof, affording shelter to persons, animals, or property. A building can be two or more units held in the condominium form of ownership that are governed by the same board of managers.",https://bedes.lbl.gov/node/ee24930d-e880-4212-b3f7-ac8f511111d4,1.0,Term-to-List-Option Match,,,,,,,,
12,BuildingClassification,Building Classification,54491,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.BuildingClassification,86208e3e-352a-451d-b2c5-da725ca87693,Sector Classification,,,https://bedes.lbl.gov/node/86208e3e-352a-451d-b2c5-da725ca87693,1,Term-to-Term Match,,,,,,,Sector Classification,86208e3e-352a-451d-b2c5-da725ca87693
13,MultiTenant,Multi Tenant,54492,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.MultiTenant,,,,,,,"Words: Term, Word",Tenant,List-Option,https://bedes.lbl.gov/node/c9d6ba64-e009-422f-b307-0b06431946aa,Multi,https://bedes.lbl.gov/node/19bfcc84-3ccb-4a56-8d90-3ad1b12d67fa,,,
14,NAICSCode,NAICS Code,54493,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NAICSCode,92597db5-170e-40a8-94d3-58c4fec2e147,NAICS Code,Premises,North American Industry Classification System code.,https://bedes.lbl.gov/node/92597db5-170e-40a8-94d3-58c4fec2e147,1,Term-to-Term Match,,,,,,,NAICS Code,92597db5-170e-40a8-94d3-58c4fec2e147
15,PubliclySubsidized,Public Subsidized,54494,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PubliclySubsidized,f0f099d4-85ca-4c4d-9981-1f4868b55eed,Multifamily Government Subsidized Community Boolean,,,https://bedes.lbl.gov/node/f0f099d4-85ca-4c4d-9981-1f4868b55eed,1,Term-to-Term Match,,,,,,,Multifamily Government Subsidized Community Boolean,f0f099d4-85ca-4c4d-9981-1f4868b55eed
16,FederalBuilding,Federal Building,54495,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding,,,,,,,"Words: Term, Word",Building,List-Option,https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7,Federal,https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e,,,
17,Agency,Agency,54496,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.Agency,709777ac-d415-4a0a-b006-06786df93987,Agency Name Identifier,,"Agency such as the Federal agency, required to designate a facility as a federal property in Portfolio Manager.",https://bedes.lbl.gov/node/709777ac-d415-4a0a-b006-06786df93987,1,Term-to-Term Match,,,,,,,Agency Name Identifier,709777ac-d415-4a0a-b006-06786df93987
18,DepartmentRegion,Department Region,54497,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.FederalBuilding.DepartmentRegion,0826a4f6-692b-4076-812a-d79a332bf8ea,Department Name Identifier,,,https://bedes.lbl.gov/node/0826a4f6-692b-4076-812a-d79a332bf8ea,1,Term-to-Term Match,,,,,,,Department Name Identifier,0826a4f6-692b-4076-812a-d79a332bf8ea
19,NumberOfBusinesses,Number Of Business,54498,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NumberOfBusinesses,9df5fbb2-ce61-477e-91e3-5dce25181c89,Business Quantity,,,https://bedes.lbl.gov/node/9df5fbb2-ce61-477e-91e3-5dce25181c89,1,Term-to-Term Match,,,,,,,Business Quantity,9df5fbb2-ce61-477e-91e3-5dce25181c89
20,ConditionedFloorsAboveGrade,Conditioned Floors Above Grade,54499,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsAboveGrade,805021fd-82d5-49e7-add7-fdd6ceac6ece,Conditioned Above Grade Floor Quantity,,,https://bedes.lbl.gov/node/805021fd-82d5-49e7-add7-fdd6ceac6ece,1,Term-to-Term Match,,,,,,,Conditioned Above Grade Floor Quantity,805021fd-82d5-49e7-add7-fdd6ceac6ece
21,ConditionedFloorsBelowGrade,Conditioned Floors Below Grade,54500,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.ConditionedFloorsBelowGrade,cfad1721-06f0-4e43-a5ee-a4aed9d3417d,Conditioned Below Grade Floor Quantity,,,https://bedes.lbl.gov/node/cfad1721-06f0-4e43-a5ee-a4aed9d3417d,1,Term-to-Term Match,,,,,,,Conditioned Below Grade Floor Quantity,cfad1721-06f0-4e43-a5ee-a4aed9d3417d
22,UnconditionedFloorsAboveGrade,Unconditioned Floors Above Grade,54501,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsAboveGrade,a3cd8d6f-3a95-41d3-b6fb-a6d10ff5fc17,Unconditioned Above Grade Floor Quantity,,,https://bedes.lbl.gov/node/a3cd8d6f-3a95-41d3-b6fb-a6d10ff5fc17,1,Term-to-Term Match,,,,,,,Unconditioned Above Grade Floor Quantity,a3cd8d6f-3a95-41d3-b6fb-a6d10ff5fc17
23,UnconditionedFloorsBelowGrade,Unconditioned Floors Below Grade,54502,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsBelowGrade,27104e46-bbd1-40e9-b30d-ac32b8dcb648,Unconditioned Below Grade Floor Quantity,,,https://bedes.lbl.gov/node/27104e46-bbd1-40e9-b30d-ac32b8dcb648,1,Term-to-Term Match,,,,,,,Unconditioned Below Grade Floor Quantity,27104e46-bbd1-40e9-b30d-ac32b8dcb648
24,HistoricalLandmark,Historical Landmark,54503,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HistoricalLandmark,,,,,,,"Words: Word, Unmatched",,,,Historical,https://bedes.lbl.gov/node/84b970ab-defb-45f4-9475-3bde4e1fa14c,Landmark,,
25,AspectRatio,Aspect Ratio,54504,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.AspectRatio,a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,Aspect Ratio,Global Terms,"The ratio of width to length, of a premises",https://bedes.lbl.gov/node/a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,1,Term-to-Term Match,,,,,,,Aspect Ratio,a5be89a5-247c-49cf-8a37-c0ce3cbdc67d
26,Perimeter,Perimeter,54505,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Perimeter,5500e473-1357-4674-8677-60c490aee209,Perimeter,Global Terms,Length of a line forming the boundary around the premises,https://bedes.lbl.gov/node/5500e473-1357-4674-8677-60c490aee209,1,Term-to-Term Match,,,,,,,Perimeter,5500e473-1357-4674-8677-60c490aee209
27,TotalExteriorAboveGradeWallArea,Total Exterior Above Grade Wall Area,54506,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorAboveGradeWallArea,3069ddc2-7c5d-428f-9b43-2bbb6813fc8f,Exterior Above Grade Wall Area,,,https://bedes.lbl.gov/node/3069ddc2-7c5d-428f-9b43-2bbb6813fc8f,1,Term-to-Term Match,,,,,,,Exterior Above Grade Wall Area,3069ddc2-7c5d-428f-9b43-2bbb6813fc8f
28,TotalExteriorBelowGradeWallArea,Total Exterior Below Grade Wall Area,54507,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorBelowGradeWallArea,a0d3690a-fd6a-4ea3-b8fd-8656206816cf,Exterior Below Grade Wall Area,,,https://bedes.lbl.gov/node/a0d3690a-fd6a-4ea3-b8fd-8656206816cf,1,Term-to-Term Match,,,,,,,Exterior Below Grade Wall Area,a0d3690a-fd6a-4ea3-b8fd-8656206816cf
29,TotalCommonConditionedAboveGradeWallArea,Total Common Conditioned Above Grade Wall Area,54508,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalCommonConditionedAboveGradeWallArea,,,,,,,Words: all Term,"Above Grade,  Total,  Common,  Conditioned,  Wall,  Area","List-Option,  List-Option,  List-Option,  List-Option,  List-Option,  Term","https://bedes.lbl.gov/node/f69a78f4-a81c-4673-9bd8-d9cedab55d49, https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/2803abed-f5ef-4d79-a8e6-0d550cdf0646, https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,,,
30,OverallWindowToWallRatio,Overall Window To Wall Ratio,54509,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OverallWindowToWallRatio,,,,,,,"Words: Term, Unmatched",Window To Wall Ratio,Term,https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c,,,Overall,,
31,OverallDoorToWallRatio,Overall Door To Wall Ratio,54510,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OverallDoorToWallRatio,,,,,,,"Words: Term, Word, Unmatched","Door,  Wall","List-Option,  List-Option","https://bedes.lbl.gov/node/30a439aa-8099-4320-8cb6-5c490d09204d, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd","To,  Ratio","https://bedes.lbl.gov/node/d37a9012-13cb-4cf5-8a8f-77d7f924643e, https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c",Overall,,
32,HeightDistribution,Height Distribution,54511,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HeightDistribution,c819129f-1853-41e3-8373-6981f3dc7a88,Height Distribution,Premises,Description of height variations in the premises.,https://bedes.lbl.gov/node/c819129f-1853-41e3-8373-6981f3dc7a88,1,Term-to-Term Match,,,,,,,Height Distribution,c819129f-1853-41e3-8373-6981f3dc7a88
33,HorizontalSurroundings,Horizontal Surroundings,54512,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HorizontalSurroundings,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,Horizontal Surroundings,Envelope,Attachments to the outermost horizontal surfaces of the premises.,https://bedes.lbl.gov/node/9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,1,Term-to-Term Match,,,,,,,Horizontal Surroundings,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe
34,VerticalSurroundings,Vertical Surroundings,54513,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.VerticalSurroundings,160cf3e7-6cd4-42a2-86c2-b239564304f9,Vertical Surroundings,Envelope,Attachments to the outermost vertical surfaces of the premises.,https://bedes.lbl.gov/node/160cf3e7-6cd4-42a2-86c2-b239564304f9,1,Term-to-Term Match,,,,,,,Vertical Surroundings,160cf3e7-6cd4-42a2-86c2-b239564304f9
35,Assessments,Assessments,54514,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments,,,,,,,Words: all Word,,,,Assessments,https://bedes.lbl.gov/node/b3982f93-0868-4959-a6aa-bca5f6956947,,,
36,Assessment,Assessment,54515,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment,,,,,,,Words: all Word,,,,Assessment,https://bedes.lbl.gov/node/b3982f93-0868-4959-a6aa-bca5f6956947,,,
37,AssessmentProgram,Assessment Assessment Program,54516,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentProgram,ad6bed68-892c-4078-870e-958b41953f8d,Assessment Program,,,https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d,1,Term-to-Term Match,,,,,,,Assessment Program,ad6bed68-892c-4078-870e-958b41953f8d
38,AssessmentLevel,Assessment Level,54517,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentLevel,3690b215-2550-4f3a-91f3-8714b0ef242d,Assessment Level,Premises,"Value from assessment programs that produce a descriptive (rather than numeric) rating, such as LEED or NGBS.",https://bedes.lbl.gov/node/3690b215-2550-4f3a-91f3-8714b0ef242d,1,Term-to-Term Match,,,,,,,Assessment Level,3690b215-2550-4f3a-91f3-8714b0ef242d
39,AssessmentValue,Assessment Value,54518,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentValue,aa5e89bc-2db3-4aeb-8018-35fdfb58923b,Assessment Value,Premises,"Value from assessment programs that produce a numeric metric, such as Energy Star Score, Home Energy Rating System (HERS) Index Score, Home Energy Score",https://bedes.lbl.gov/node/aa5e89bc-2db3-4aeb-8018-35fdfb58923b,1,Term-to-Term Match,,,,,,,Assessment Value,aa5e89bc-2db3-4aeb-8018-35fdfb58923b
40,AssessmentYear,Assessment Year,54519,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentYear,4c521191-18e1-47c3-8992-0921c4b571ec,Assessment Year,Premises,Year the assessment qualifications for recognition were documented.,https://bedes.lbl.gov/node/4c521191-18e1-47c3-8992-0921c4b571ec,1,Term-to-Term Match,,,,,,,Assessment Year,4c521191-18e1-47c3-8992-0921c4b571ec
41,AssessmentVersion,Assessment Version,54520,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentVersion,69cb8f56-8e45-4975-9dbb-6d46eaea26c2,Assessment Version,Premises,"Version of the assessment documentation, such as ""2.0""",https://bedes.lbl.gov/node/69cb8f56-8e45-4975-9dbb-6d46eaea26c2,1,Term-to-Term Match,,,,,,,Assessment Version,69cb8f56-8e45-4975-9dbb-6d46eaea26c2
42,YearOccupied,Year Occupied,54521,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOccupied,f248d4b0-a95b-43e7-ac1a-f33ee8fefadd,Occupied Date,,,https://bedes.lbl.gov/node/f248d4b0-a95b-43e7-ac1a-f33ee8fefadd,1,Term-to-Term Match,,,,,,,Occupied Date,f248d4b0-a95b-43e7-ac1a-f33ee8fefadd
43,YearOfLastEnergyAudit,Year Of Last Energy Audit,54522,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLastEnergyAudit,a6e80075-5335-42b3-9d56-51e4c4615fab,Audit Date,,,https://bedes.lbl.gov/node/a6e80075-5335-42b3-9d56-51e4c4615fab,1,Term-to-Term Match,,,,,,,Audit Date,a6e80075-5335-42b3-9d56-51e4c4615fab
44,RetrocommissioningDate,Retrocommissioning Date,54523,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.RetrocommissioningDate,30c06b69-8e05-4733-b106-be6d99cf6e8b,Retrocommissioning Date,,,https://bedes.lbl.gov/node/30c06b69-8e05-4733-b106-be6d99cf6e8b,1,Term-to-Term Match,,,,,,,Retrocommissioning Date,30c06b69-8e05-4733-b106-be6d99cf6e8b
45,YearOfLatestRetrofit,Year Of Most Recent Retrofit,54524,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLatestRetrofit,0be2e016-ddc0-4b7a-aced-d98deb4cb10e,Retrofit Date,,,https://bedes.lbl.gov/node/0be2e016-ddc0-4b7a-aced-d98deb4cb10e,1,Term-to-Term Match,,,,,,,Retrofit Date,0be2e016-ddc0-4b7a-aced-d98deb4cb10e
46,YearOfLastMajorRemodel,Year Of Last Major Remodel,54525,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLastMajorRemodel,fea29af9-73e4-4263-9bf8-231f63e123ef,Major Remodel Date,,,https://bedes.lbl.gov/node/fea29af9-73e4-4263-9bf8-231f63e123ef,1,Term-to-Term Match,,,,,,,Major Remodel Date,fea29af9-73e4-4263-9bf8-231f63e123ef
47,PercentOccupiedByOwner,Percent Occupied By Owner,54526,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PercentOccupiedByOwner,6508ba1f-00dc-4de9-90d1-f6d3b8be7e16,Percent Occupied By Owner,Contact,Percent of gross floor area that is occupied by the owner.,https://bedes.lbl.gov/node/6508ba1f-00dc-4de9-90d1-f6d3b8be7e16,1,Term-to-Term Match,,,,,,,Percent Occupied By Owner,6508ba1f-00dc-4de9-90d1-f6d3b8be7e16
48,PercentLeasedByOwner,Percent Leased By Owner,54527,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PercentLeasedByOwner,,,,,,,"Words: Term, Word, Unmatched","Percent,  Owner","List-Option,  List-Option","https://bedes.lbl.gov/node/89c7adf4-76b6-4b05-8580-ba19cd5b5631, https://bedes.lbl.gov/node/901fd87f-9eb3-4365-8d75-e2ea1d4e2ea8",By,https://bedes.lbl.gov/node/6508ba1f-00dc-4de9-90d1-f6d3b8be7e16,Leased,,
49,NumberOfFacilitiesOnSite,Number Of Facilities On Site,54528,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NumberOfFacilitiesOnSite,cc698840-6195-403c-81a3-8a39f2c33b8a,Building Quantity,,,https://bedes.lbl.gov/node/cc698840-6195-403c-81a3-8a39f2c33b8a,1,Term-to-Term Match,,,,,,,Building Quantity,cc698840-6195-403c-81a3-8a39f2c33b8a
50,OperatorType,Operator Type,54529,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OperatorType,47293ce1-3df5-4fb2-88fd-d1a31cfd29f2,Operator Occupant Type,,,https://bedes.lbl.gov/node/47293ce1-3df5-4fb2-88fd-d1a31cfd29f2,1,Term-to-Term Match,,,,,,,Operator Occupant Type,47293ce1-3df5-4fb2-88fd-d1a31cfd29f2
51,Sections,Sections,54530,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections,,,,,,,Words: all Word,,,,Sections,https://bedes.lbl.gov/node/f004b8d9-f128-4a19-b11d-56be188989f0,,,
52,Section,Section,54531,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section,,,,,,,Words: all Word,,,,Section,https://bedes.lbl.gov/node/f004b8d9-f128-4a19-b11d-56be188989f0,,,
53,SectionType,Section Type,54532,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.SectionType,f004b8d9-f128-4a19-b11d-56be188989f0,Section Type,Premises,Premises breakdown,https://bedes.lbl.gov/node/f004b8d9-f128-4a19-b11d-56be188989f0,1.0,Term-to-Term Match,,,,,,,,
54,FootprintShape,Footprint Shape,54533,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.FootprintShape,dc8cd762-b447-4c87-8a7b-1ccf451fbf06,Footprint Shape,Envelope,General shape of the premises outlined by the exterior walls. Illustrations will be added when the web version is developed.,https://bedes.lbl.gov/node/dc8cd762-b447-4c87-8a7b-1ccf451fbf06,1,Term-to-Term Match,,,,,,,Footprint Shape,dc8cd762-b447-4c87-8a7b-1ccf451fbf06
55,NumberOfSides,Number Of Sides,54534,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.NumberOfSides,,,,,,,"Words: Term, Word",Sides,List-Option,https://bedes.lbl.gov/node/959cbc7e-5ded-498f-8b7f-d43604c16e2b,"Number,  Of","https://bedes.lbl.gov/node/a2330c7a-2740-43c2-8296-5a02c610bd64, https://bedes.lbl.gov/node/3d8f4d75-8578-46ef-8d4c-e94b00be54fa",,,
56,ThermalZoneLayout,Thermal Zone Layout,54535,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.ThermalZoneLayout,31a911ea-321d-46f8-af8b-a937c90790bc,Thermal Zone Layout,Global Terms,Type of zoning used for space conditioning,https://bedes.lbl.gov/node/31a911ea-321d-46f8-af8b-a937c90790bc,1,Term-to-Term Match,,,,,,,Thermal Zone Layout,31a911ea-321d-46f8-af8b-a937c90790bc
57,PerimeterZoneDepth,Perimeter Zone Depth,54536,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.PerimeterZoneDepth,239f46a5-afc2-44f8-a3f4-46f6111585bb,Perimeter Thermal Zone Depth,,,https://bedes.lbl.gov/node/239f46a5-afc2-44f8-a3f4-46f6111585bb,1,Term-to-Term Match,,,,,,,Perimeter Thermal Zone Depth,239f46a5-afc2-44f8-a3f4-46f6111585bb
58,SideA1Orientation,Side A1 Orientation,54537,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.SideA1Orientation,364f781d-754b-42c6-80f4-3a3200141f07,Side Cardinal Orientation,,,https://bedes.lbl.gov/node/364f781d-754b-42c6-80f4-3a3200141f07,1,Term-to-Term Match,,,,,,,Side Cardinal Orientation,364f781d-754b-42c6-80f4-3a3200141f07
59,Sides,Sides,54538,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides,,,,,,,Words: all Term,Sides,List-Option,https://bedes.lbl.gov/node/959cbc7e-5ded-498f-8b7f-d43604c16e2b,,,,,
60,Side,Side,54539,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side,959cbc7e-5ded-498f-8b7f-d43604c16e2b,Side,,Common unit abbreviation: Side,https://bedes.lbl.gov/node/959cbc7e-5ded-498f-8b7f-d43604c16e2b,1.0,Term-to-List-Option Match,,,,,,,,
61,SideNumber,Side Number,54540,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.SideNumber,fdb1d2aa-9e28-40f7-b264-c31ed6c24102,Side Identifier,,,https://bedes.lbl.gov/node/fdb1d2aa-9e28-40f7-b264-c31ed6c24102,1,Term-to-Term Match,,,,,,,Side Identifier,fdb1d2aa-9e28-40f7-b264-c31ed6c24102
62,SideLength,Side Length,54541,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.SideLength,5dd83895-aec4-4d3f-8850-60d8c627c5db,Side Length,,,https://bedes.lbl.gov/node/5dd83895-aec4-4d3f-8850-60d8c627c5db,1,Term-to-Term Match,,,,,,,Side Length,5dd83895-aec4-4d3f-8850-60d8c627c5db
63,WallIDs,Wall Identifier,54542,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WallIDs,,,,,,,Words: all Term,"Wall,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,,,
64,WallID,Wall Identifier,54543,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WallIDs.WallID,,,,,,,Words: all Term,"Wall,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,,,
65,WallArea,Wall Area,54544,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WallIDs.WallID.WallArea,9904fba5-15cb-4101-87f7-009139e59e17,Wall Area,,,https://bedes.lbl.gov/node/9904fba5-15cb-4101-87f7-009139e59e17,1,Term-to-Term Match,,,,,,,Wall Area,9904fba5-15cb-4101-87f7-009139e59e17
66,WallID,Wall Identifier,54545,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WallID,,,,,,,Words: all Term,"Wall,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,,,
67,WallArea,Wall Area,54546,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WallID.WallArea,9904fba5-15cb-4101-87f7-009139e59e17,Wall Area,,,https://bedes.lbl.gov/node/9904fba5-15cb-4101-87f7-009139e59e17,1,Term-to-Term Match,,,,,,,Wall Area,9904fba5-15cb-4101-87f7-009139e59e17
68,WindowIDs,Window Identifier,54547,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WindowIDs,,,,,,,Words: all Term,"Window,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/934211b1-a905-4db1-84af-6ce114f151aa, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,,,
69,WindowID,Window Identifier,54548,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WindowIDs.WindowID,,,,,,,Words: all Term,"Window,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/934211b1-a905-4db1-84af-6ce114f151aa, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,,,
70,WindowToWallRatio,Window To Wall Ratio,54549,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Sections.Section.Sides.Side.WindowIDs.WindowID.WindowToWallRatio,386c6359-a381-4dbf-b2e0-c72069f7843c,Window To Wall Ratio,Envelope,"Ratio of total window area to total wall area, where the total wall area is calculated using the floor to floor height, rather than the floor to ceiling height.",https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c,1.0,Term-to-Term Match,,,,,,,,
