enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Other,41369,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51164
Unknown,41370,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51164
On Demand,41371,feb5eb34-5655-40d0-b5b9-e839a45f6cf5,On demand,Power is supplied as it is required by demand,https://bedes.lbl.gov/node/feb5eb34-5655-40d0-b5b9-e839a45f6cf5,1dc71ca0-5371-43b6-a05c-7794a73e0695,0.99,51165
Standby,41372,4a260c58-6db8-4a66-8314-b38036579187,Standby,The lowest power consumption state which cannot be switched off by the user and that may persist for an indefinite time when the product is connected to the main electricity supply.,https://bedes.lbl.gov/node/4a260c58-6db8-4a66-8314-b38036579187,1dc71ca0-5371-43b6-a05c-7794a73e0695,1,51165
Schedule,41373,1a777a1e-25da-4d63-9175-f27a8056e747,Schedule,,https://bedes.lbl.gov/node/1a777a1e-25da-4d63-9175-f27a8056e747,224f52fa-2b57-4a3e-8956-2c94bd1996be,1,51165
Other,41374,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51165
Unknown,41375,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51165
Primary,41376,0ba5cf97-762d-4929-a744-c2bd165f49c1,Primary,The premises is a primary place of residence or business.,https://bedes.lbl.gov/node/0ba5cf97-762d-4929-a744-c2bd165f49c1,acc27dac-df0b-498d-9877-477ca2db5a53,1,51166
Secondary,41377,f706f5a3-c506-467f-b1a6-7e6531180fc0,Secondary,"The secondary, or second in order of priority.",https://bedes.lbl.gov/node/f706f5a3-c506-467f-b1a6-7e6531180fc0,40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e,1,51166
Tertiary,41378,1bc5b01b-bd4b-4da8-ab3a-2e842efa93fc,Tertiary,"The tertiary, or third in order of priority.",https://bedes.lbl.gov/node/1bc5b01b-bd4b-4da8-ab3a-2e842efa93fc,40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e,1,51166
Backup,41379,30576d4d-a861-4d08-8308-cade2e378c7f,Backup,Reserved as a back-up to be operated if necessary.,https://bedes.lbl.gov/node/30576d4d-a861-4d08-8308-cade2e378c7f,40627ae4-b6d5-455f-a7d0-b9a7d3c50e9e,1,51166
Other,41380,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51166
Unknown,41381,086ae16f-060f-42e5-aed7-9111b7d859db,Unknown,Unknown,https://bedes.lbl.gov/node/086ae16f-060f-42e5-aed7-9111b7d859db,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1,51166
Boiler,41382,b54cba08-c530-4462-a4b9-e210604226f2,Boiler,Efficiency of boiler equipment,https://bedes.lbl.gov/node/b54cba08-c530-4462-a4b9-e210604226f2,0c7a8485-8b74-49a4-b063-6ce3ff0c6155,1,51167
Chilled Water,41383,694a5468-8200-4861-a875-3b9efa7c55a8,Chilled Water,,https://bedes.lbl.gov/node/694a5468-8200-4861-a875-3b9efa7c55a8,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Domestic Hot Water,41384,c6095e57-4a43-4754-aef5-a262882cfe89,Domestic Hot Water,,https://bedes.lbl.gov/node/c6095e57-4a43-4754-aef5-a262882cfe89,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Solar Hot Water,41385,0e35f290-24fd-4dc6-a8ac-eaf55a7ebfdd,Solar Hot Water,,https://bedes.lbl.gov/node/0e35f290-24fd-4dc6-a8ac-eaf55a7ebfdd,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Condenser,41386,72fdb267-bfb4-4ef8-bdaa-3f6f16400de4,Condenser,,https://bedes.lbl.gov/node/72fdb267-bfb4-4ef8-bdaa-3f6f16400de4,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Cooling Tower,41387,f6691120-7f60-4901-ab1e-83929d8a427c,Cooling Tower,,https://bedes.lbl.gov/node/f6691120-7f60-4901-ab1e-83929d8a427c,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Ground Loop,41388,af1e50a6-2290-43b0-9a65-898f503e69f7,Ground Loop,,https://bedes.lbl.gov/node/af1e50a6-2290-43b0-9a65-898f503e69f7,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Pool,41389,0ba9bae2-38ba-47e4-96b4-81ac799544cd,Pool,,https://bedes.lbl.gov/node/0ba9bae2-38ba-47e4-96b4-81ac799544cd,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Recirculation,41390,4cca300d-9855-4140-bbf4-87734f0ac732,Recirculation,,https://bedes.lbl.gov/node/4cca300d-9855-4140-bbf4-87734f0ac732,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
Process Hot Water,41391,48c066ad-88ef-49d1-a0c9-2302b5ff8113,Process Hot Water,,https://bedes.lbl.gov/node/48c066ad-88ef-49d1-a0c9-2302b5ff8113,3d8ea5a9-acb2-45a1-ad5c-b67ecce27c7f,1,51167
