enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Cooled only,6813,,,,,,,1688
Heated only,6812,,,,,,,1688
Heated and Cooled,6811,,,,,,,1688
Semi-conditioned,6810,aca5748d-4ebb-4716-8d35-9d80a01e062f,Semi conditioned,"Premises are partially conditioned by mechanical heating, cooling, ventilation, or humidity control.",https://bedes.lbl.gov/node/aca5748d-4ebb-4716-8d35-9d80a01e062f,86b2ac31-8d38-4e02-b457-d3998d19ab6d,0.975,1688
Unconditioned,6809,9de91345-4f35-4334-ba1b-4b954e6d197c,Unconditioned,"Premises are not conditioned by any mechanical cooling, heating, ventilation, and/or humidity control.",https://bedes.lbl.gov/node/9de91345-4f35-4334-ba1b-4b954e6d197c,86b2ac31-8d38-4e02-b457-d3998d19ab6d,1.0,1688
Conditioned,6808,925008ac-90f0-4fc5-9627-d44dc8e91246,Conditioned,"Premises are conditioned if mechanically cooled, heated, ventilated, and/or controlled for humidity.",https://bedes.lbl.gov/node/925008ac-90f0-4fc5-9627-d44dc8e91246,86b2ac31-8d38-4e02-b457-d3998d19ab6d,1.0,1688
Cooled,6807,a606b14c-99d2-4453-a246-0b3806f9dc07,Cooled,Premises are mechanically cooled.,https://bedes.lbl.gov/node/a606b14c-99d2-4453-a246-0b3806f9dc07,86b2ac31-8d38-4e02-b457-d3998d19ab6d,1.0,1688
Heated,6806,0ce5f2dd-2fa8-4157-8423-237c9963f62a,Heated,Premises are mechanically heated.,https://bedes.lbl.gov/node/0ce5f2dd-2fa8-4157-8423-237c9963f62a,86b2ac31-8d38-4e02-b457-d3998d19ab6d,1.0,1688
Daylit,6805,,,,,,,1688
Lighted,6804,,,,,,,1688
Occupied,6803,bf8468e5-474b-4a44-96c5-5ef8e3379184,Occupied,"Occupied by the primary occupant type for this premises: people, property, or animals.",https://bedes.lbl.gov/node/bf8468e5-474b-4a44-96c5-5ef8e3379184,c96ba8d5-cb5a-4163-8ca7-d62a24b3de34,1.0,1688
Rentable,6802,e5a507f6-705d-48bc-a968-f84088f0192e,Rentable,Floor area that is being rented or is for rent.,https://bedes.lbl.gov/node/e5a507f6-705d-48bc-a968-f84088f0192e,468fbd28-7043-45fb-8287-9e4ee2efbe6d,1.0,1688
Footprint,6801,6e428fee-7919-47d9-adf7-6648271f2329,Footprint,The total horizontal area of the vertical span of the premises.,https://bedes.lbl.gov/node/6e428fee-7919-47d9-adf7-6648271f2329,468fbd28-7043-45fb-8287-9e4ee2efbe6d,1.0,1688
Finished,6800,25a496f2-c784-49cf-8599-93819379443a,Finished,"To be considered finished, the premises must meet three of the following criteria: be heated, have finished walls, have a finished ceiling (no exposed floor joists), and have a finished floor (painted concrete floors don't count).",https://bedes.lbl.gov/node/25a496f2-c784-49cf-8599-93819379443a,d3649974-1a49-4f8c-af61-3bee0fe6a113,1.0,1688
Net,6799,2d6b707a-abd6-406a-973f-b3809d3ebbe1,Net,"Gross floor area, excluding the area occupied by walls and partitions, the circulation area (where people walk), and the mechanical area (where there is mechanical equipment), i.e., gross floor area reduced by the area for structural components",https://bedes.lbl.gov/node/2d6b707a-abd6-406a-973f-b3809d3ebbe1,468fbd28-7043-45fb-8287-9e4ee2efbe6d,1.0,1688
Gross,6798,49c74a3e-12c9-43e7-b3af-715ccf3aa0b3,Gross,"The sum of the floor areas of all the spaces within the premises with no deductions for floor penetrations other than atria. it is measured from the exterior faces of exterior walls or from the centerline of walls separating buildings but it excludes covered walkways, open-roofed over areas, porches and similar spaces, pipe trenches, exterior terraces or steps, roof overhangs, parking garages, surface parking, and similar features.",https://bedes.lbl.gov/node/49c74a3e-12c9-43e7-b3af-715ccf3aa0b3,468fbd28-7043-45fb-8287-9e4ee2efbe6d,1.0,1688
Common,6797,5ef25880-ec7b-4e1c-8a64-786f4362f843,Common,Commonly used street suffix or abbreviations: Clb,https://bedes.lbl.gov/node/5ef25880-ec7b-4e1c-8a64-786f4362f843,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0,1688
Tenant,6796,59ddcbe1-806b-4420-a580-c83e29781578,Tenant,Occupant who occupies land or property rented from a landlord,https://bedes.lbl.gov/node/59ddcbe1-806b-4420-a580-c83e29781578,9990e638-f884-446b-9218-c5855a7e7955,1.0,1688
Wing,6795,52f01f54-f3fc-49fa-8e4d-a9a59d83a34a,Wing,,https://bedes.lbl.gov/node/52f01f54-f3fc-49fa-8e4d-a9a59d83a34a,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Upper,6794,fe34041f-ed79-4e9d-81dd-5c9f1f459d86,Upper,Common unit abbreviation: Uppr,https://bedes.lbl.gov/node/fe34041f-ed79-4e9d-81dd-5c9f1f459d86,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Unit,6793,0ac2edbb-ce97-4b05-b977-91c5b20bf189,Unit,Generic unit type,https://bedes.lbl.gov/node/0ac2edbb-ce97-4b05-b977-91c5b20bf189,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,1.0,1678 1729
Trailer,6792,2ca1bb90-0fdb-4b5e-ad57-8335dbb9318c,Trailer,"Commonly used street suffix or abbreviations: Trlr, Trlrs",https://bedes.lbl.gov/node/2ca1bb90-0fdb-4b5e-ad57-8335dbb9318c,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0,1678 1729
Tower,6791,9246658f-2911-4703-b092-2bc48690f520,Tower,,https://bedes.lbl.gov/node/9246658f-2911-4703-b092-2bc48690f520,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Terminal,6790,1e7feb90-1b1d-4084-a138-e889f21c3c06,Terminal,,https://bedes.lbl.gov/node/1e7feb90-1b1d-4084-a138-e889f21c3c06,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Suite,6789,f082e06f-516c-4b82-97b6-1fda41812ff2,Suite,Common unit abbreviation: Ste,https://bedes.lbl.gov/node/f082e06f-516c-4b82-97b6-1fda41812ff2,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Stop,6788,fdd944d8-1f83-4ee8-858b-8ded41a6fa2a,Stop,Common unit abbreviation: Stop,https://bedes.lbl.gov/node/fdd944d8-1f83-4ee8-858b-8ded41a6fa2a,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Space,6787,1bc16d94-c485-4a6e-ad52-182d753b317b,Space,"A space is a section within a building or area that aids the primary activity and could not stand alone, such as a hallway or a closet.",https://bedes.lbl.gov/node/1bc16d94-c485-4a6e-ad52-182d753b317b,fba25f46-1fbd-4379-b4fa-5d34884730b0,1.0,1678 1729
Slip,6786,fe67e366-8ed4-44fc-9750-5162febce0b8,Slip,Common unit abbreviation: Slip,https://bedes.lbl.gov/node/fe67e366-8ed4-44fc-9750-5162febce0b8,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Side,6785,959cbc7e-5ded-498f-8b7f-d43604c16e2b,Side,Common unit abbreviation: Side,https://bedes.lbl.gov/node/959cbc7e-5ded-498f-8b7f-d43604c16e2b,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Seat,6784,75140795-6313-480b-a30d-d46e2a70c5f2,Seat,,https://bedes.lbl.gov/node/75140795-6313-480b-a30d-d46e2a70c5f2,aeae978b-c81e-4318-b6af-8ac8da74dd51,1.0,1678 1729
Room,6783,78b43fdd-c53b-467d-8c41-ea71f2860db2,Room,"Rooms refers to subdivisions of a housing unit. Whole rooms are rooms such as living rooms, dining rooms, bedrooms, kitchens, lodgers' rooms, finished basements or attic rooms, recreation rooms, and permanently enclosed sun porches that are used year round. Rooms used for offices by a person living in the unit are included. Not considered to be rooms are bathrooms, halls, foyers or vestibules, balconies, closets, alcoves, pantries, strip or pullman kitchens, laundry or furnace rooms, unfinished attics or basements, open porches, and unfinished space used for storage. A partially divided room, such as a dinette next to a kitchen or a living room, is considered a separate room only if there is a partition from floor to ceiling, but not if the partition consists solely of shelves or cabinets. If a room is used by occupants of more than one unit, the room is included with the unit from which it is most easily reached.",https://bedes.lbl.gov/node/78b43fdd-c53b-467d-8c41-ea71f2860db2,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,1.0,1678 1729
