enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Divide,10591,940c8d99-7212-417f-80ed-9e3cf405a36e,Divide,"Commonly used street suffix or abbreviations: Div, Dv, Dvd",https://bedes.lbl.gov/node/940c8d99-7212-417f-80ed-9e3cf405a36e,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Dam,10590,a9408977-973d-4292-a721-297b66d14b6e,Dam,Commonly used street suffix or abbreviations: Dm,https://bedes.lbl.gov/node/a9408977-973d-4292-a721-297b66d14b6e,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Dale,10589,bc3f719d-c3f3-4382-86f5-03f5184b875f,Dale,Commonly used street suffix or abbreviations: Dl,https://bedes.lbl.gov/node/bc3f719d-c3f3-4382-86f5-03f5184b875f,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Curve,10588,34e40638-1c2d-4e71-97ca-1670ec9cd468,Curve,Commonly used street suffix or abbreviations: Curv,https://bedes.lbl.gov/node/34e40638-1c2d-4e71-97ca-1670ec9cd468,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Crossroads,10587,ca7df125-69f3-47ea-b5df-38ac02370587,Crossroads,Commonly used street suffix or abbreviations: Xrds,https://bedes.lbl.gov/node/ca7df125-69f3-47ea-b5df-38ac02370587,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Crossroad,10586,f6973595-008a-4301-bb53-cdd63bb2d74f,Crossroad,Commonly used street suffix or abbreviations: Xrd,https://bedes.lbl.gov/node/f6973595-008a-4301-bb53-cdd63bb2d74f,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Crossing,10585,5cfee1c0-a671-4b33-a462-7d72e96d04e6,Crossing,"Commonly used street suffix or abbreviations: Crssng, Xing",https://bedes.lbl.gov/node/5cfee1c0-a671-4b33-a462-7d72e96d04e6,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Crest,10584,e9d1be84-4b88-4c32-b830-a0fd05fca02a,Crest,Commonly used street suffix or abbreviations: Crst,https://bedes.lbl.gov/node/e9d1be84-4b88-4c32-b830-a0fd05fca02a,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Crescent,10583,9da74a4e-b48f-442a-b723-86ecbe9db622,Crescent,"Commonly used street suffix or abbreviations: Cres, Crsent, Crsnt",https://bedes.lbl.gov/node/9da74a4e-b48f-442a-b723-86ecbe9db622,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
Creek,10582,5f0b30b8-bf19-446c-bdde-2c8084f86ce9,Creek,Commonly used street suffix or abbreviations: Crk,https://bedes.lbl.gov/node/5f0b30b8-bf19-446c-bdde-2c8084f86ce9,0e5b9f13-6b6b-4a6e-86bb-d4667b62cc4e,1.0
