attribute_name,transformed_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,match_type,matched_to_term,term_or_lo,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
LinkedScheduleID,Linked Schedule Identifier,10736,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.LinkedScheduleIDs.LinkedScheduleID,,,,,,,"Words: Term, Unmatched","Schedule,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/8fbe43d0-4ba3-4c0c-ac70-7e397d4ca60b, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,Linked
FloorAreas,Floor Areas,10737,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas,,,,,,,Words: all Term,"Floor,  Areas","List-Option,  Term","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
FloorArea,Floor Area,10738,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea,,,,,,,Words: all Term,"Floor,  Area","List-Option,  Term","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
FloorAreaType,Floor Area Type,10739,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaType,,,,,,,"Words: Term, Word","Floor,  Area","List-Option,  Term","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",Type,https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84,
FloorAreaCustomName,Floor Area Custom Name,10740,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaCustomName,,,,,,,"Words: Term, Unmatched","Floor,  Area,  Name","List-Option,  Term,  List-Option","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731, https://bedes.lbl.gov/node/7f7a2ada-00a2-4354-9c71-18c024765239",,,Custom
FloorAreaValue,Floor Area Value,10741,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaValue,,,,,,,Words: all Term,"Floor,  Area,  Value","List-Option,  Term,  Term","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731, https://bedes.lbl.gov/node/da999cb7-348a-461f-aa5f-b1c37857be79",,,
FloorAreaPercentage,Floor Area Percentage,10742,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.FloorAreaPercentage,,,,,,,"Words: Term, Word","Floor,  Area","List-Option,  Term","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",Percentage,https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e,
Story,Floor,10743,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Site.LinkedSiteID.FloorAreas.FloorArea.Story,9faff201-b000-41cf-9b8a-6955b6937eea,Floor,,Stories or floors made up of spaces that are all on the same level.,https://bedes.lbl.gov/node/9faff201-b000-41cf-9b8a-6955b6937eea,1.0,Term-to-List-Option Match,,,,,,
Building,Building,10744,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Building,ee24930d-e880-4212-b3f7-ac8f511111d4,Building,,"A building is a single structure wholly or partially enclosed within exterior walls, or within exterior and abutment walls (party walls), and a roof, affording shelter to persons, animals, or property. A building can be two or more units held in the condominium form of ownership that are governed by the same board of managers.",https://bedes.lbl.gov/node/ee24930d-e880-4212-b3f7-ac8f511111d4,1.0,Term-to-List-Option Match,,,,,,
LinkedBuildingID,Linked Building Identifier,10745,BuildingSync.Facilities.Facility.Systems.WaterInfiltrationSystems.WaterInfiltrationSystem.LinkedPremises.Building.LinkedBuildingID,,,,,,,"Words: Term, Unmatched","Building,  Identifier","List-Option,  Term","https://bedes.lbl.gov/node/6207b4d5-694c-430a-a5c9-f375ba2eebc7, https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83",,,Linked
