enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
South-Central,27,43ed30fc-d869-492c-8f32-36eccb02370d,South Central,Energy Star zone.,https://bedes.lbl.gov/node/43ed30fc-d869-492c-8f32-36eccb02370d,af2178d7-3ed1-456d-af87-3decc69dd233,0.9692307692307692
Southern,28,432851f0-960f-456a-8be9-ab684a322cac,Southern,Energy Star zone.,https://bedes.lbl.gov/node/432851f0-960f-456a-8be9-ab684a322cac,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Climate Zone 1,29,,,,,,
Climate Zone 2,30,,,,,,
Climate Zone 3,31,,,,,,
Climate Zone 4,32,,,,,,
Climate Zone 5,33,,,,,,
Climate Zone 6,34,,,,,,
Climate Zone 7,35,,,,,,
Climate Zone 8,36,,,,,,
Climate Zone 9,37,,,,,,
Climate Zone 10,38,,,,,,
Climate Zone 11,39,,,,,,
Climate Zone 12,40,,,,,,
Climate Zone 13,41,,,,,,
Climate Zone 14,42,,,,,,
Climate Zone 15,43,,,,,,
Climate Zone 16,44,,,,,,
1,45,3d986910-fcb2-405b-ae98-a7575cb931f0,1,California Title 24 representative city of Arcata. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/3d986910-fcb2-405b-ae98-a7575cb931f0,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2,46,c93c15d4-97ee-4f03-bf51-f988e3a760c7,2,California Title 24 representative city of Santa Rosa. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/c93c15d4-97ee-4f03-bf51-f988e3a760c7,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3,47,5fadc1df-d7d9-4328-ba24-93306ba9f82a,3,California Title 24 representative city of Oakland. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/5fadc1df-d7d9-4328-ba24-93306ba9f82a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4 (Except Marine),48,,,,,,
4 (Marine),49,,,,,,
5,50,a989a284-d242-41db-92b2-f2e166cd8a75,5,California Title 24 representative city of Santa Marina. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/a989a284-d242-41db-92b2-f2e166cd8a75,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
6,51,50db75f3-a69b-4a8c-96c3-daed909445b0,6,California Title 24 representative city of Los Angeles. IECC Zone,https://bedes.lbl.gov/node/50db75f3-a69b-4a8c-96c3-daed909445b0,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
7,52,38e04aa1-b194-4b35-94fa-29c722f8997e,7,ASHRAE. Very cold. 9000 < HDD65F <= 12600. California Title 24 representative city of San Diego. IECC Zone,https://bedes.lbl.gov/node/38e04aa1-b194-4b35-94fa-29c722f8997e,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
8,53,4a379f63-0bb5-4cb5-a04a-8f7269f0d723,8,ASHRAE. Subarctic. 12600 < HDD65F. California Title 24 representative city of El Toro. IECC Zone.,https://bedes.lbl.gov/node/4a379f63-0bb5-4cb5-a04a-8f7269f0d723,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Subarctic,54,25237be0-aa42-4b74-a9a0-f90486f0ff5f,Subarctic,Building America or DOE zone.,https://bedes.lbl.gov/node/25237be0-aa42-4b74-a9a0-f90486f0ff5f,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Marine,55,db379977-c3b0-4e75-a499-f54461ae4512,Marine,Building America or DOE zone.,https://bedes.lbl.gov/node/db379977-c3b0-4e75-a499-f54461ae4512,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Hot-dry,56,,,,,,
Mixed-dry,57,14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,Mixed dry,Building America or DOE zone.,https://bedes.lbl.gov/node/14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,af2178d7-3ed1-456d-af87-3decc69dd233,0.9555555555555556
Hot-humid,58,,,,,,
Mixed-humid,59,d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,Mixed humid,Building America or DOE zone.,https://bedes.lbl.gov/node/d6cd8a8e-1713-4f7c-a169-aa63b9fb3661,af2178d7-3ed1-456d-af87-3decc69dd233,0.9636363636363636
Cold,60,ca84d0e1-cb59-45ce-b407-d6a9d0793788,Cold,Building America or DOE zone.,https://bedes.lbl.gov/node/ca84d0e1-cb59-45ce-b407-d6a9d0793788,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Very cold,61,d79f488d-5140-4807-973b-fc20653a6d53,Very cold,Building America or DOE zone.,https://bedes.lbl.gov/node/d79f488d-5140-4807-973b-fc20653a6d53,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
1,62,3d986910-fcb2-405b-ae98-a7575cb931f0,1,California Title 24 representative city of Arcata. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/3d986910-fcb2-405b-ae98-a7575cb931f0,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
2,63,c93c15d4-97ee-4f03-bf51-f988e3a760c7,2,California Title 24 representative city of Santa Rosa. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/c93c15d4-97ee-4f03-bf51-f988e3a760c7,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
3,64,5fadc1df-d7d9-4328-ba24-93306ba9f82a,3,California Title 24 representative city of Oakland. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/5fadc1df-d7d9-4328-ba24-93306ba9f82a,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4,65,49ed1dd1-c8ff-4fbe-816d-07359feb5075,4,California Title 24 representative city of Sunnyvale. CBECS zone.,https://bedes.lbl.gov/node/49ed1dd1-c8ff-4fbe-816d-07359feb5075,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5,66,a989a284-d242-41db-92b2-f2e166cd8a75,5,California Title 24 representative city of Santa Marina. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/a989a284-d242-41db-92b2-f2e166cd8a75,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Subarctic,67,25237be0-aa42-4b74-a9a0-f90486f0ff5f,Subarctic,Building America or DOE zone.,https://bedes.lbl.gov/node/25237be0-aa42-4b74-a9a0-f90486f0ff5f,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Marine,68,db379977-c3b0-4e75-a499-f54461ae4512,Marine,Building America or DOE zone.,https://bedes.lbl.gov/node/db379977-c3b0-4e75-a499-f54461ae4512,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Hot-dry,69,,,,,,
