attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,term_or_lo,matched_to_term,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words 
SolarThermalSystemCollectorType,1084,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.SolarThermalSystemCollectorType,8f2effea-95e7-4de7-ad0b-520070443ce3,Solar Thermal System Collector Type,Generation and Storage Equipment,Type of solar energy collector used in a solar hot water or space heating system,https://bedes.lbl.gov/node/8f2effea-95e7-4de7-ad0b-520070443ce3,0.9771428571428572,Term,,,,,
SolarThermalSystemCollectorAzimuth,1085,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.SolarThermalSystemCollectorAzimuth,,,,,,,"List-Option, List-Option, List-Option, List-Option, Term","Solar, Thermal, System, Collector, Azimuth","https://bedes.lbl.gov/node/971dbd39-a939-43b3-b0bf-7f8b80ccb7b1, https://bedes.lbl.gov/node/b93b2553-292d-4038-8a3c-ffc81a28a0f9, https://bedes.lbl.gov/node/17088d19-ae84-4a27-8905-add18338ebef, https://bedes.lbl.gov/node/bbf4829b-2c51-4ccf-a421-6d31c8cad1e9, https://bedes.lbl.gov/node/385b7e73-dca3-433d-9a2b-ecc9e78e1f57",,,
SolarThermalSystemCollectorTilt,1086,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.SolarThermalSystemCollectorTilt,26cdde2d-d62a-4825-842a-93fd0ee48bf0,Solar thermal system collector,,Generic solar thermal system collector,https://bedes.lbl.gov/node/26cdde2d-d62a-4825-842a-93fd0ee48bf0,0.9541935483870968,List-Option,,,,,
SolarThermalSystemStorageVolume,1087,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.SolarThermalSystemStorageVolume,,,,,,,"List-Option, List-Option, List-Option, List-Option, Term","Solar, Thermal, System, Storage, Volume","https://bedes.lbl.gov/node/971dbd39-a939-43b3-b0bf-7f8b80ccb7b1, https://bedes.lbl.gov/node/b93b2553-292d-4038-8a3c-ffc81a28a0f9, https://bedes.lbl.gov/node/17088d19-ae84-4a27-8905-add18338ebef, https://bedes.lbl.gov/node/c4f210b1-5f80-4ab3-b25a-a1f53ae463eb, https://bedes.lbl.gov/node/8bc1803e-c367-428f-ad82-71fdc92b5295",,,
ControlTechnology,1088,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.ControlTechnology,9f25b506-119d-4216-950e-8c2530512ce9,Control Technology,Controls and Operations,Technological device that enables control of the system.,https://bedes.lbl.gov/node/9f25b506-119d-4216-950e-8c2530512ce9,0.9888888888888889,Term,,,,,
Quantity,1089,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.Quantity,aebf37a3-692f-4129-a659-ddd8ebaed422,Quantity,Global Terms,The number of specified units,https://bedes.lbl.gov/node/aebf37a3-692f-4129-a659-ddd8ebaed422,1.0,Term,,,,,
YearInstalled,1090,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.YearInstalled,,,,,,,"List-Option, List-Option","Year, Installed","https://bedes.lbl.gov/node/d66ce29c-dc1b-4a9e-b0ba-abc5c35ed6b1, https://bedes.lbl.gov/node/89e2f3f7-3a4e-42f5-bed5-3c1bb8113edd",,,
YearofManufacture,1091,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.YearofManufacture,935c6bff-fc4f-4fed-a9d2-59bfd70268df,Year of Manufacture,Global Terms,Year the product was produced and labeled by the manufacturer.,https://bedes.lbl.gov/node/935c6bff-fc4f-4fed-a9d2-59bfd70268df,0.9789473684210527,Term,,,,,
Manufacturer,1092,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.Manufacturer,b5eee59c-938f-4ad2-b987-4ec1b620f757,Manufacturer,Global Terms,Manufacturer of the product.,https://bedes.lbl.gov/node/b5eee59c-938f-4ad2-b987-4ec1b620f757,1.0,Term,,,,,
ModelNumber,1093,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.ModelNumber,77ad671a-e05f-4700-81aa-cc6d4c43a26a,Model Number,Global Terms,Model or catalogue number that can be used to identify more detailed component or asset characteristics.,https://bedes.lbl.gov/node/77ad671a-e05f-4700-81aa-cc6d4c43a26a,0.9833333333333333,Term,,,,,
Location,1094,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Solar.Location,f1f0585d-19da-47e1-824f-6e109fb136c8,Location,Global Terms,"Spatial location or installation location. This can apply to systems, opaque surfaces, etc.",https://bedes.lbl.gov/node/f1f0585d-19da-47e1-824f-6e109fb136c8,1.0,Term,,,,,
SpaceHeatingSystem,1095,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.SpaceHeatingSystem,4e392916-e8a4-45c1-8e88-401d9fac7f6d,Space heating system,,Domestic hot water tanks are heated indirectly by primary water from the space heating boiler,https://bedes.lbl.gov/node/4e392916-e8a4-45c1-8e88-401d9fac7f6d,0.98,List-Option,,,,,
HeatingPlantID,1096,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.SpaceHeatingSystem.HeatingPlantID,f5c0a4ca-934f-4267-89b0-85fbe4a81584,Heating plant,,,https://bedes.lbl.gov/node/f5c0a4ca-934f-4267-89b0-85fbe4a81584,0.956043956043956,List-Option,,,,,
Other,1097,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Other,,,,,,,,,,Other,https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e,
Unknown,1098,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Indirect.IndirectTankHeatingSource.Unknown,,,,,,,,,,,,Unknown
Other,1099,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Other,,,,,,,,,,Other,https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e,
Unknown,1100,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeatingType.Unknown,,,,,,,,,,,,Unknown
TankVolume,1101,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankVolume,,,,,,,"List-Option, Term","Tank, Volume","https://bedes.lbl.gov/node/4955673d-8779-41d4-bf31-4e38be1028f7, https://bedes.lbl.gov/node/8bc1803e-c367-428f-ad82-71fdc92b5295",,,
TankHeight,1102,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankHeight,,,,,,,"List-Option, Term","Tank, Height","https://bedes.lbl.gov/node/4955673d-8779-41d4-bf31-4e38be1028f7, https://bedes.lbl.gov/node/1ec70a6b-70cf-45f5-85ee-3c77476d3451",,,
TankPerimeter,1103,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.TankPerimeter,,,,,,,"List-Option, Term","Tank, Perimeter","https://bedes.lbl.gov/node/4955673d-8779-41d4-bf31-4e38be1028f7, https://bedes.lbl.gov/node/5500e473-1357-4674-8677-60c490aee209",,,
RecoveryEfficiency,1104,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.RecoveryEfficiency,,,,,,,"List-Option, List-Option","Recovery, Efficiency","https://bedes.lbl.gov/node/347b6982-0d72-43b3-8a46-8c8bf9364344, https://bedes.lbl.gov/node/ed0c42ff-8039-49e1-8db9-7c5b92ed4f5b",,,
StorageTankInsulationRValue,1105,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.StorageTankInsulationRValue,,,,,,,"List-Option, List-Option, List-Option, Term","Storage, Tank, Insulation, Value","https://bedes.lbl.gov/node/c4f210b1-5f80-4ab3-b25a-a1f53ae463eb, https://bedes.lbl.gov/node/4955673d-8779-41d4-bf31-4e38be1028f7, https://bedes.lbl.gov/node/b12bc49f-a6bf-4542-9082-e82a7bb924e3, https://bedes.lbl.gov/node/da999cb7-348a-461f-aa5f-b1c37857be79",R,https://bedes.lbl.gov/node/09d9cf77-6f90-4551-bca4-900fcf4593cc,
StorageTankInsulationThickness,1106,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.StorageTankInsulationThickness,,,,,,,"List-Option, List-Option, List-Option, Term","Storage, Tank, Insulation, Thickness","https://bedes.lbl.gov/node/c4f210b1-5f80-4ab3-b25a-a1f53ae463eb, https://bedes.lbl.gov/node/4955673d-8779-41d4-bf31-4e38be1028f7, https://bedes.lbl.gov/node/b12bc49f-a6bf-4542-9082-e82a7bb924e3, https://bedes.lbl.gov/node/4968ad2d-f183-4979-b494-8a26a6bb065a",,,
OffCycleHeatLossCoefficient,1107,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.StorageTank.OffCycleHeatLossCoefficient,36b58a2b-3fad-457f-8a48-52bdba2a27f0,Off cycle heat loss coefficient,,The heat loss coefficient to ambient conditions. Btu/h�ft2��F,https://bedes.lbl.gov/node/36b58a2b-3fad-457f-8a48-52bdba2a27f0,0.9698924731182796,List-Option,,,,,
Instantaneous,1108,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous,746160ab-5646-460a-8e0a-b7a3851851d9,Instantaneous,,"Instantaneous, or tankless, water heaters use high-powered burners to quickly heat water as it runs through a heat exchanger, eliminating the need for a storage tank.",https://bedes.lbl.gov/node/746160ab-5646-460a-8e0a-b7a3851851d9,1.0,List-Option,,,,,
InstantaneousWaterHeatingSource,1109,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource,,,,,,,"List-Option, List-Option, List-Option, List-Option","Instantaneous, Water, Heating, Source","https://bedes.lbl.gov/node/746160ab-5646-460a-8e0a-b7a3851851d9, https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65, https://bedes.lbl.gov/node/87d699d6-5d8f-4648-9418-0ff048616c14, https://bedes.lbl.gov/node/658797eb-6b25-4d5d-9bd8-9b9b82f78a2e",,,
ElectricResistance,1110,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource.ElectricResistance,,,,,,,List-Option,Electric,https://bedes.lbl.gov/node/93d8182a-b71a-4ba4-96c2-f16087a01f0f,Resistance,https://bedes.lbl.gov/node/12298e92-ddfe-4291-9db1-d00bd5bf83c4,
Combustion,1111,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource.Combustion,56094b2d-a71c-451b-acf3-0bd132620cbb,Combustion,,The measure of how much energy is extracted from the fuel and is the ratio of heat transferred to the combustion air divided by the heat input of the fuel. (0-1),https://bedes.lbl.gov/node/56094b2d-a71c-451b-acf3-0bd132620cbb,1.0,List-Option,,,,,
DraftType,1112,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource.Combustion.DraftType,b2bc8a23-9a79-4a91-9903-4e0a495595b8,Draft Type,HVAC,"Draft mechanism used for drawing air through a boiler, furnace, or water heater.",https://bedes.lbl.gov/node/b2bc8a23-9a79-4a91-9903-4e0a495595b8,0.98,Term,,,,,
Other,1113,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource.Other,,,,,,,,,,Other,https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e,
Unknown,1114,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Instantaneous.InstantaneousWaterHeatingSource.Unknown,,,,,,,,,,,,Unknown
HeatExchanger,1115,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.HeatExchanger,d96ccf93-9f19-458a-8574-f058991e9fe0,Heat exchanger,,A heat exchanger is a piece of equipment built for efficient heat transfer from one medium to another. The media may be separated by a solid wall to prevent mixing or they may be in direct contact.,https://bedes.lbl.gov/node/d96ccf93-9f19-458a-8574-f058991e9fe0,0.9857142857142858,List-Option,,,,,
Other,1116,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Other,,,,,,,,,,Other,https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e,
Unknown,1117,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DomesticHotWaterType.Unknown,,,,,,,,,,,,Unknown
Recirculation,1118,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation,4cca300d-9855-4140-bbf4-87734f0ac732,Recirculation,,,https://bedes.lbl.gov/node/4cca300d-9855-4140-bbf4-87734f0ac732,1.0,List-Option,,,,,
RecirculationLoopCount,1119,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.RecirculationLoopCount,1fb90ab1-9234-44a2-a0b7-db2ba5f25782,Recirculation Loop Count,Loads,The total number of hot water recirculation loops coming from and returning to a specific water heater.,https://bedes.lbl.gov/node/1fb90ab1-9234-44a2-a0b7-db2ba5f25782,0.9833333333333333,Term,,,,,
RecirculationFlowRate,1120,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.RecirculationFlowRate,,,,,,,List-Option,Recirculation,https://bedes.lbl.gov/node/0be66e7c-68b4-4368-82c0-04c22a96b5db,"Flow, Rate","https://bedes.lbl.gov/node/3ec0e1e4-d24c-4851-9ddb-9a88b3bd552c, https://bedes.lbl.gov/node/f30b6c63-f69e-4fd9-83da-df02453d49b7",
RecirculationControlType,1121,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.RecirculationControlType,,,,,,,List-Option,Recirculation,https://bedes.lbl.gov/node/0be66e7c-68b4-4368-82c0-04c22a96b5db,"Control, Type","https://bedes.lbl.gov/node/3ec0e1e4-d24c-4851-9ddb-9a88b3bd552c, https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84",
PipeInsulationThickness,1122,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.PipeInsulationThickness,f158e59b-92dc-493d-be8c-a3bae50a1675,Pipe Insulation Thickness,HVAC,"Defines how thick insulation on pipes in a heating, cooling, water heating system is.",https://bedes.lbl.gov/node/f158e59b-92dc-493d-be8c-a3bae50a1675,0.984,Term,,,,,
PipeLocation,1123,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.PipeLocation,b6bad878-afc9-4568-bab1-000bdfb9032c,Pipe Location,HVAC,% of pipe length in conditioned space (0-1),https://bedes.lbl.gov/node/b6bad878-afc9-4568-bab1-000bdfb9032c,0.9846153846153847,Term,,,,,
RecirculationEnergyLossRate,1124,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Recirculation.RecirculationEnergyLossRate,ea214029-e092-4838-b4fd-736f01aff9b5,Recirculation energy loss rate,,Rate of heat loss from the recirculation loop when operating.,https://bedes.lbl.gov/node/ea214029-e092-4838-b4fd-736f01aff9b5,0.98,List-Option,,,,,
HotWaterDistributionType,1125,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.HotWaterDistributionType,,,,,,,List-Option,Water,https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65,"Hot, Distribution, Type","https://bedes.lbl.gov/node/24c3ce31-337b-41ad-ab5b-75eac9d03672, https://bedes.lbl.gov/node/c819129f-1853-41e3-8373-6981f3dc7a88, https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84",
WaterHeaterEfficiencyType,1126,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.WaterHeaterEfficiencyType,,,,,,,"List-Option, List-Option","Water, Efficiency","https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65, https://bedes.lbl.gov/node/ed0c42ff-8039-49e1-8db9-7c5b92ed4f5b","Heater, Type","https://bedes.lbl.gov/node/7f1f39d3-cbb2-4457-b35c-d2834f2a7bf7, https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84",
WaterHeaterEfficiency,1127,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.WaterHeaterEfficiency,,,,,,,"List-Option, List-Option","Water, Efficiency","https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65, https://bedes.lbl.gov/node/ed0c42ff-8039-49e1-8db9-7c5b92ed4f5b",Heater,https://bedes.lbl.gov/node/7f1f39d3-cbb2-4457-b35c-d2834f2a7bf7,
DailyHotWaterDraw,1128,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.DailyHotWaterDraw,,,,,,,"List-Option, List-Option","Daily, Water","https://bedes.lbl.gov/node/d9b155db-8b67-4445-b781-bff9cd2ac685, https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65","Hot, Draw","https://bedes.lbl.gov/node/24c3ce31-337b-41ad-ab5b-75eac9d03672, https://bedes.lbl.gov/node/e733c60b-85f8-4d7b-b579-13773c25fe70",
HotWaterSetpointTemperature,1129,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.HotWaterSetpointTemperature,,,,,,,"List-Option, Term, List-Option","Water, Setpoint, Temperature","https://bedes.lbl.gov/node/1eb1ea90-8414-47f3-b827-e5a36854ac65, https://bedes.lbl.gov/node/e008f92c-2fa5-4afc-a5f1-2bcdcc1ae651, https://bedes.lbl.gov/node/e7ca0d36-5870-45ef-b4ae-c860de97030f",Hot,https://bedes.lbl.gov/node/24c3ce31-337b-41ad-ab5b-75eac9d03672,
ParasiticFuelConsumptionRate,1130,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.ParasiticFuelConsumptionRate,,,,,,,,,,"Parasitic, Fuel, Consumption, Rate","https://bedes.lbl.gov/node/973b665c-6ac9-4cca-8b85-2ce890d1f30e, https://bedes.lbl.gov/node/d117694f-e524-4bbe-947a-3079a7ae4ece, https://bedes.lbl.gov/node/f30b6c63-f69e-4fd9-83da-df02453d49b7, https://bedes.lbl.gov/node/f30b6c63-f69e-4fd9-83da-df02453d49b7",
Capacity,1131,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Capacity,785ea29e-0f5b-404a-aa9c-6e7dc667bf7a,Capacity,Global Terms,The capacity value of the associated equipment or system,https://bedes.lbl.gov/node/785ea29e-0f5b-404a-aa9c-6e7dc667bf7a,1.0,Term,,,,,
CapacityUnits,1132,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.CapacityUnits,,,,,,,"Term, List-Option","Capacity, Units","https://bedes.lbl.gov/node/785ea29e-0f5b-404a-aa9c-6e7dc667bf7a, https://bedes.lbl.gov/node/1f0f8179-7b42-4928-867f-42a67326ed06",,,
ThirdPartyCertification,1133,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.ThirdPartyCertification,68b749ce-4da6-4224-9152-57d9ce4a07f3,Third party certification,,Fenestration rating produced by a third-party certification body.,https://bedes.lbl.gov/node/68b749ce-4da6-4224-9152-57d9ce4a07f3,0.984,List-Option,,,,,
ControlTechnology,1134,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.ControlTechnology,9f25b506-119d-4216-950e-8c2530512ce9,Control Technology,Controls and Operations,Technological device that enables control of the system.,https://bedes.lbl.gov/node/9f25b506-119d-4216-950e-8c2530512ce9,0.9888888888888889,Term,,,,,
YearInstalled,1135,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.YearInstalled,,,,,,,"List-Option, List-Option","Year, Installed","https://bedes.lbl.gov/node/d66ce29c-dc1b-4a9e-b0ba-abc5c35ed6b1, https://bedes.lbl.gov/node/89e2f3f7-3a4e-42f5-bed5-3c1bb8113edd",,,
YearofManufacture,1136,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.YearofManufacture,935c6bff-fc4f-4fed-a9d2-59bfd70268df,Year of Manufacture,Global Terms,Year the product was produced and labeled by the manufacturer.,https://bedes.lbl.gov/node/935c6bff-fc4f-4fed-a9d2-59bfd70268df,0.9789473684210527,Term,,,,,
PrimaryFuel,1137,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.PrimaryFuel,,,,,,,List-Option,Primary,https://bedes.lbl.gov/node/1dde198d-0fbd-4f6d-9cd2-2223a2bf01cd,Fuel,https://bedes.lbl.gov/node/d117694f-e524-4bbe-947a-3079a7ae4ece,
Manufacturer,1138,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Manufacturer,b5eee59c-938f-4ad2-b987-4ec1b620f757,Manufacturer,Global Terms,Manufacturer of the product.,https://bedes.lbl.gov/node/b5eee59c-938f-4ad2-b987-4ec1b620f757,1.0,Term,,,,,
ModelNumber,1139,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.ModelNumber,77ad671a-e05f-4700-81aa-cc6d4c43a26a,Model Number,Global Terms,Model or catalogue number that can be used to identify more detailed component or asset characteristics.,https://bedes.lbl.gov/node/77ad671a-e05f-4700-81aa-cc6d4c43a26a,0.9833333333333333,Term,,,,,
Location,1140,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.Location,f1f0585d-19da-47e1-824f-6e109fb136c8,Location,Global Terms,"Spatial location or installation location. This can apply to systems, opaque surfaces, etc.",https://bedes.lbl.gov/node/f1f0585d-19da-47e1-824f-6e109fb136c8,1.0,Term,,,,,
LinkedPremises,1141,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises,,,,,,,List-Option,Premises,https://bedes.lbl.gov/node/195698ac-0fbc-4457-9b6d-71c95d98f564,,,Linked
Facility,1142,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility,,,,,,,,,,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,
LinkedFacilityID,1143,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID,,,,,,,List-Option,ID,https://bedes.lbl.gov/node/fa5b0da0-216c-48c1-b2e2-041cafc31493,Facility,https://bedes.lbl.gov/node/f1573c10-fc34-4e6c-9b65-4766bdeedb88,Linked
LinkedScheduleIDs,1144,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID.LinkedScheduleIDs,,,,,,,"List-Option, List-Option","Schedule, ID","https://bedes.lbl.gov/node/8fbe43d0-4ba3-4c0c-ac70-7e397d4ca60b, https://bedes.lbl.gov/node/fa5b0da0-216c-48c1-b2e2-041cafc31493",,,Linked
LinkedScheduleID,1145,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID.LinkedScheduleIDs.LinkedScheduleID,,,,,,,"List-Option, List-Option","Schedule, ID","https://bedes.lbl.gov/node/8fbe43d0-4ba3-4c0c-ac70-7e397d4ca60b, https://bedes.lbl.gov/node/fa5b0da0-216c-48c1-b2e2-041cafc31493",,,Linked
FloorAreas,1146,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas,,,,,,,"List-Option, Term","Floor, Areas","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
FloorArea,1147,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea,,,,,,,"List-Option, Term","Floor, Area","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",,,
FloorAreaType,1148,BuildingSync.Facilities.Facility.Systems.DomesticHotWaterSystems.DomesticHotWaterSystem.LinkedPremises.Facility.LinkedFacilityID.FloorAreas.FloorArea.FloorAreaType,,,,,,,"List-Option, Term","Floor, Area","https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",Type,https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84,
