attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,term_or_lo,matched_to_term,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
IECC,18,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC,6743390c-49aa-4f77-b0be-d7cd5b22b5b8,IECC,,Climate zone map for the United States published in the International Energy Conservation Code.,https://bedes.lbl.gov/node/6743390c-49aa-4f77-b0be-d7cd5b22b5b8,1.0,List-Option,,,,,
ClimateZone,19,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.IECC.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
BuildingAmerica,20,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.BuildingAmerica,74762890-f90c-4d12-97e5-73c5bf88d7bb,Building America,,"A simplified version of the IECC climate zone map, developed at the National Renewable Energy Laboratory (NREL) to be used for the Building America program.",https://bedes.lbl.gov/node/74762890-f90c-4d12-97e5-73c5bf88d7bb,0.9874999999999999,List-Option,,,,,
ClimateZone,21,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.BuildingAmerica.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
CBECS,22,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CBECS,cdfb500f-dffe-4e33-bb40-4f4fb3022223,CBECS,,The Commercial Buildings Energy Consumption Survey (CBECS) is a national sample survey that collects information on the stock of U.S. commercial buildings.,https://bedes.lbl.gov/node/cdfb500f-dffe-4e33-bb40-4f4fb3022223,1.0,List-Option,,,,,
ClimateZone,23,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.CBECS.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
DOE,24,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.DOE,eb0ee349-8a58-411f-a519-0f7abbde12c1,DOE,,U.S. Department of Energy,https://bedes.lbl.gov/node/eb0ee349-8a58-411f-a519-0f7abbde12c1,1.0,List-Option,,,,,
ClimateZone,25,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.DOE.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
Other,26,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.Other,,,,,,,,,,Other,https://bedes.lbl.gov/node/0707002a-2bf0-46f3-a2c2-ba8f019ca97e,
ClimateZone,27,BuildingSync.Facilities.Facility.Sites.Site.ClimateZoneType.Other.ClimateZone,af2178d7-3ed1-456d-af87-3decc69dd233,Climate Zone,Premises,"Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".",https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233,0.9833333333333333,Term,,,,,
