enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance,associated_attribute_ids
Audit,62725,4a211e82-1d09-4bfe-9673-17daa35e7a0e,Audit,,https://bedes.lbl.gov/node/4a211e82-1d09-4bfe-9673-17daa35e7a0e,34eba948-b418-4f29-85b0-8f73380c7994,1.0,72164
Performance,62726,932eed34-90aa-4cda-8b7e-994e9aa2a56e,Performance,,https://bedes.lbl.gov/node/932eed34-90aa-4cda-8b7e-994e9aa2a56e,34eba948-b418-4f29-85b0-8f73380c7994,1.0,72164
Deemed,62727,f4df0f78-d72b-403f-8ff4-1edd6c0be678,Deemed,,https://bedes.lbl.gov/node/f4df0f78-d72b-403f-8ff4-1edd6c0be678,34eba948-b418-4f29-85b0-8f73380c7994,1.0,72164
Retrofit,62728,73160bb3-6426-4ca5-8de3-8044fd18d415,Retrofit,,https://bedes.lbl.gov/node/73160bb3-6426-4ca5-8de3-8044fd18d415,34eba948-b418-4f29-85b0-8f73380c7994,1.0,72164
Rebate,62729,599cf5b4-c019-4bae-8300-47f951bfb748,Rebate,,https://bedes.lbl.gov/node/599cf5b4-c019-4bae-8300-47f951bfb748,34eba948-b418-4f29-85b0-8f73380c7994,1.0,72164
Other,62730,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,72164
Not Applicable,62731,,,,,,,72164
Commercial,62732,6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,Commercial,"Commercial designs are meant to accommodate the making of a profit, either directly or indirectly, by the premises.",https://bedes.lbl.gov/node/6ba960ff-085b-4ef0-ac87-9bc1e9e2de25,86208e3e-352a-451d-b2c5-da725ca87693,1.0,72171
Residential,62733,e689eee2-3fbf-4c85-9082-54b8f1575c68,Residential,Residential designs are meant to accommodate the needs of people residing on the premises.,https://bedes.lbl.gov/node/e689eee2-3fbf-4c85-9082-54b8f1575c68,86208e3e-352a-451d-b2c5-da725ca87693,1.0,72171
Mixed use commercial,62734,622b9f3b-1315-4700-9c04-8d89e71b6f8a,Mixed use commercial,"A commercial premises includes non-manufacturing business establishments including hotels, restaurants, wholesale businesses, retail stores, warehouses, storage facilities, and health, social and educational institutions.",https://bedes.lbl.gov/node/622b9f3b-1315-4700-9c04-8d89e71b6f8a,c96589bd-0dfc-47a4-b040-11dba49d2ebd,1.0,72171
Other,62735,1bf118dd-9a9e-440c-8e8f-b3a92ab62855,Other,Other,https://bedes.lbl.gov/node/1bf118dd-9a9e-440c-8e8f-b3a92ab62855,1d87e8ff-747e-4a30-8342-e43b96e53bd4,1.0,72171
Multiple Heights,62736,,,,,,,72191
Uniform Height,62737,,,,,,,72191
No abutments,62738,,,,,,,72192
Attached from Above,62739,fd1c940d-ac1f-4000-baa3-a47f59a19ae0,Attached from above,,https://bedes.lbl.gov/node/fd1c940d-ac1f-4000-baa3-a47f59a19ae0,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9789473684210526,72192
