BuildingSyncPath,State,RequiredValues,RequiredPairedElement,GroupID,GroupingLevel
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentYear,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Assessments.Assessment.AssessmentVersion,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfConstruction,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOccupied,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLastEnergyAudit,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.RetrocommissioningDate,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLatestRetrofit,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.YearOfLastMajorRemodel,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PercentOccupiedByOwner,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.NumberOfFacilitiesOnSite,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OperatorType,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.YearOfConstruction,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FootprintShape,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Story,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.ThermalZoneLayout,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.PerimeterZoneDepth,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.SideA1Orientation,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.Sides,,,,,
